Family,Genus,Taxonomical_Notes,Nature of fruit (Fleshy/dry),tv_scoring_fruit,Ovule number (min.; max.; prevalent if available),tv_scoring_ovule_number1,tv_scoring_ovule_number2,Seed number (min.; max.; prevalent if available),tv_scoring_seed_number1,tv_scoring_seed_number2,Seed size (min.; max.; prevalent if available),tv_scoring_seed_size1,tmp,tv_scoring_seed_size2,Nature of testa (membranaceous/cartilaginous/coriaceous/hard/bony),Staminal fusion (filaments fused/fllaments free),Anther opening (rimose/porose),Nature of stamens (isomorphic/not isomorphic),Disposition of stamens (straight in bud/curved in bud),Merosity (min.; max.; prevalent),Prevalent pollination syndrome (wind/animals + note),tv_scoring_pollination1,tv_scoring_pollination2,notes,Corolla diameter (min.; max.; prevalent),tv_scoring_corolla_diam1,tv_scoring_corolla_diam2,Hypanthium length (min.; max.; prevalent)
Lythraceae,Adenaria,"monotypic, =Pehria? Functional dioecious",dry capsule thick indurated,dry,ca. 70-80 per capsule,50_to_99,75,ca. 7-20 per capsule,5_to_50,13.5,0.9-1.3 mm long x 0.8-1.2 mm wide,1_to_10,1.1 x 1.0,3.45,hard,free,longitudinal,isomorphi,,4 or 5; 4,wind,abiotic,abiotic,,2.0-2.5,smaller_than_5,2.25,2.5-5.0
Lythraceae,Ammannia,"herbs, incl Nesaea, Hionanthera","dry capsule,thin-wall",dry,ca. 100 or more,100_or_more,100,",100-500, ca. 250-300 see notes",more_than_50,275,0.3-0.4 x 0.3-0.5 mm lxw,up_to_1,0.35 x 0.45,0.49,hard,free,longitudinal,isomorphi,,"3,4 or 5; 4","various small insects, wind?",insects,biotic,,2.0-3.5 mm,smaller_than_5,2.75,2.5-4.0 mm
Lythraceae,Capuronia,"small shrub, dioecious",dry capsule thick berry-like,dry,ca. 30 or more,less_than_50,30,5-8 per capsule,5_to_50,6.5,2.9-3.2 x 2.3-2.7 mm,over_10,3.05 x 2.5,23.94,hard,free,longitudinal,isomorphi,,6,"insects? Unknown; has nectary,",insects,biotic,,1.3 mm,smaller_than_5,1.3,1-2 mm
Lythraceae,Crenea,nested in Ammannnia,dry capsule thlck-wall,dry,500+,100_or_more,500,ca. 500 per capsule,more_than_50,500,5.0 x 0.3-0.5 mm,1_to_10,5 x 0.4,6.28,membran.,free,longitudinal,isomorphi,,4,"insects? Unknown; has nectary,",insects,biotic,,4.5-5.5,between_5_and_10,5,4-6 mm
Lythraceae,Cuphea,largest genus of family,"dry capsule, thin-wall",dry,2-100+,50_to_99,51,"2-100+ per capsule, 20 or fewer per caps.",5_to_50,20,0.5-3.3 x 0.3-3.0 mm,1_to_10,1.9 x 1.65,9.84,hard,free,longitudinal,isomorphi,,6,"promiscuous large and small insects, bees, hummingb., water",insects,biotic,,2-2.5 mm for hyssopoif (to-10 for all Cuphea),smaller_than_5,2.25,6.0-7.0 hyssopif.; 4.0-38.0 mm for allspp.
Lythraceae,Decodon,monotypic small shrub,dry capsule moderate,dry,ca. 30+,less_than_50,30,20-30 per capsule,5_to_50,25,1.0-1.9 x 1.2-2.0 mm,1_to_10,1.45 x 1.7,7.74,hard,free,longitudinal,isomorphi,,4 or 5; 5,promiscous insects,insects,biotic,,4.5-6.5 mm,between_5_and_10,5.5,4-8 mm
Lythraceae,Didiplis,monotypic aquatic herb,dry capsule thin-wall,dry,ca. 25-50,less_than_50,37.5,25-45 per capsule,5_to_50,35,0.6-0.9 x 0.2-0.3 mm,up_to_1,0.75 x 0.25,0.59,membran.,free,longitudinal,isomorphi,,4,water,abiotic,biotic,,1.5-2.5 mm,smaller_than_5,2,1.75-2.5 mm; 2mm
Lythraceae,Diplusodon,small shrub,dry capsule thick indurated,dry,6-84m avg. 25,less_than_50,25,"4-72 per capsule, avg. 17",5_to_50,17,1.0-4.0 x 1.8-3.5 mm,over_10,2.5 x 2.65,20.8,hard/membr.,free,longitudinal,isomorphi,,6,promiscuous small and large bees,insects,biotic,,6.5-7 mm,between_5_and_10,6.75,7.5-8.0 mm
Lythraceae,Duabanga,large trees,dry capsule thick indurated,dry,100+,100_or_more,100,100+ per capsule,more_than_50,100,4-5.5 x 0.5 mm,1_to_10,4.75 x 0.5,7.46,membran.,free,longitudinal,isomorphi,,4-8; 6?,bats,vertebrate,biotic,,2.5 cm,smaller_than_5,2.5,2-2.5 cm
Lythraceae,Galpinia,"monotypic, small tree",dry capsule thin-wall,dry,ca. 25-30,less_than_50,27.5,3-10 per capsule ,5_to_50,6.5,3.0-4.5 x 2.5-4.0 mm,over_10,3.75 x 3.25,38.27,hard/membr.,free,longitudinal,isomorphi,,5 or 6; 6,unknown,NA,NA,,4 mm,smaller_than_5,4,3 mm
Lythraceae,Ginoria,medium trees and shrubs,dry capsule moderate,dry,100+ ,100_or_more,100,50+ per capsule,more_than_50,50,0.5-2.5 x 0.1-0.6 mm,1_to_10,1.5 x 0.35,1.65,hard,free,longitudinal,isomorphi,,4 or 6; rarely 5 or 7,promiscuous small insects,insects,biotic,,6-6 mm,between_5_and_10,6,"3-18 mm; avg, 8.6"
Lythraceae,Heimia,shrub,dry capsule thin-wall,dry,100 +,100_or_more,100,50+ per capsule,more_than_50,50,0.5-1.0 x 0.3-0.8 mm,1_to_10,0.75 x 0.55,1.3,hard,free,longitudinal,isomorphi,,5 or 6; 6,promiscuous small insects,insects,biotic,,5-6 mm,between_5_and_10,5.5,3.5-7.5
Lythraceae,Koehneria,monotypic shrub,dry capsule thin-wall,dry,100+,100_or_more,100,10-30 per capsule,5_to_50,20,1.3-1.7 x 1.0-1.2 mm,1_to_10,1.5 x 1.1,5.18,hard,free,longitudinal,isomorphi,,5 or 6; 6,unknown,NA,biotic,looked at the flowers,7-7.5 mm,between_5_and_10,7.25,8.5 mm
Lythraceae,Lafoensia,Large trees and shrubs,dry capsule thickindurated,dry,100+,100_or_more,100,100+,more_than_50,100,6.5-35.0 x 8.0-15.0 mm,over_10,20.75 x 11.5,749.28,hard/membran,free,longitudinal,isomorphi,,8-16; 10-12,bats,vertebrate,biotic,,15 mm,larger_than_10,15,15 mm
Lythraceae,Lagerstroemia,Large trees and shrubs,dry capsule thick indurated,dry,ca. 8- 100,50_to_99,54,8-72 per capsule,5_to_50,40,3.0-6.0 x 4.0-16.0 mm incl. wing,over_10,4.5 x 10,141.3,hard/membr,free,longitudinal,not isomorphic,,6,honey bees,insects,biotic,,10 mm,between_5_and_10,10,10-12 mm
Lythraceae,Lawsonia,monotypic shrub,dry capsule thick indurated,dry,ca. 70-80 per capsule,50_to_99,75,ca. 30-50 per capsule,5_to_50,40,1.2-2.2 x 1.3-2.0 mm,1_to_10,1.7 x 1.65,8.81,hard,free,longitudinal,isomorphi,,4,bees,insects,biotic,,3.0 mm,smaller_than_5,3,1.5 mm
Lythraceae,Lourtella,monotypic small shrub,dry capsule thin-wall,dry,ca. 50-60,50_to_99,55,30-50 per capsule,5_to_50,40,0.8-1.0 x 0.5-0.7 mm,1_to_10,0.9 x 0.6,1.7,hard,free,longitudinal,isomorphi,,6,unknown,NA,NA,,3.5 mm,smaller_than_5,3.25,3-3.5 mm
Lythraceae,Lythrum,"incl. Peplis, herb-small shrub",dry capsule thin-wall,dry,30-100+,50_to_99,65,30-12 per capsule,5_to_50,21,0.4-0.8 x 0.3-0.7 mm,up_to_1,0.6 x 0.5,0.94,hard,free,longitudinal,isomorphi,,4 or 6; ?,"honey bees, bumble bees, butterflies, moths",insects,biotic,,1.0-1.7 mm,smaller_than_5,1.35,5-6.5 mm
Lythraceae,Pehria,shrub-small tree,dry capsule moderate indurated,dry,100+,100_or_more,100,50+ per capsule,more_than_50,50,0.7-0.9 x 0.3-0.5 mm,up_to_1,0.8 x 0.4,1,hard,free,longitudinal,isomorphi,,4 or 5; 4,wind?,abiotic,abiotic,,5.0-6.0 mm,between_5_and_10,5.5,6.5-7.5 mm
Lythraceae,Pemphis,monotypic shrub,dry capsule thick indurated,dry,ca. 20,less_than_50,20,15-20 per capsules,5_to_50,17.5,2.5-3.0 x 1.7-2.0 mm,over_10,2.75 x 1.85,15.97,hard,free,longitudinal,isomorphi,,6,bird genus Zosterops,vertebrate,biotic,,7.0-7.5 mm,between_5_and_10,7.25,5-6 mm
Lythraceae,Physocalymma,"monotypic, large trees",dry capsule thin wall,dry,50+,50_to_99,50,50+ per capsule,more_than_50,50,3.2-4.2 x 2.7-4.0 mm,over_10,3.7 x 3.35,38.92,hard/membr,free,longitudinal,isomorphi,,8,unknown,NA,biotic,looked at the flowers,11-15 mm,larger_than_10,13,10-13 mm
Lythraceae,Pleurophora,suffrutescent herbs,dry capsule thin-wall,dry,25-100+,50_to_99,65,3-100 per capsule,more_than_50,51.5,0.6-0.7 x 0.4-0.5 mm,up_to_1,0.65 x 0.45,0.92,hard,free,longitudinal,isomorphi,,6,"various small insects, bees",insects,biotic,,2-2.5 mm,smaller_than_5,2.25,4-6 mm
Lythraceae,Punica,shrub-small tree,leathery fleshy thick-wall,fleshy,100- 1000 in cult. P. granatum,100_or_more,100,100-1000+ in cult. P. granatum,more_than_50,100,4.0-4.6 x 1.8-2.0 mm ,over_10,4.3 x 1.9,25.65,membr (fleshy)/hard,free,longitudinal,isomorphi,,6,"bees, hummingbirds",insects,biotic,,ca. 2.0 cm,larger_than_10,20,"ca. 2.0 cm, in P. granatum 2-3 cm"
Lythraceae,Rotala,herbs,dry capsule thin-wall,dry,40 - 300+,100_or_more,170,30-300 per capsule,more_than_50,165,0.3-0.7 x 0.2-0.4 mm,up_to_1,0.5 x 0.3,0.47,hard,free,longitudinal,isomorphi,,3-6; 4,promiscuous small insects,insects,biotic,,2.5 mm,smaller_than_5,2.5,3.3-4.5 mm
Lythraceae,Sonneratia,medium trees,fleshy berry thick-wall,fleshy,100+- 1000+,100_or_more,100,100+-1000+,more_than_50,550,5-12 x 4-10 mm,over_10,8.5 x 7,186.83,hard,free,longitudinal,isomorphi,,4-8;?,"bats, sunbirds",vertebrate,biotic,,1.5-3.0 cm,larger_than_10,22.5,1.5-3.0 cm
Lythraceae,Tetrataxis,small tree,dry capsule moderate indurated,dry,100+,100_or_more,100,50+,more_than_50,50,0.9-1.2 x 0.2-0.5 mm,1_to_10,1.05 x 0.35,1.15,hard,free,longitudinal,isomorphi,,4,unknown,NA,NA,,12mm,larger_than_10,12,13-15 mm; 15 mm
Lythraceae,Trapa,aquatic herb,"drupe-like, horned indurated",fleshy,2 per fruit,less_than_50,2,1 per fruit,less_than_5,1,ca. 1.0-2.0 x 1.0-2.0 centimeters,1_to_10,1.5 x 1.5 ,7.06,hard,free,longitudinal,isomorphi,,4,small insects,insects,biotic,,3.5 cm,larger_than_10,35,2.5-3.5 cm
Lythraceae,Woodfordia,small shrub,dry capsule thin-walled,dry,100+,100_or_more,100,50+,more_than_50,100,0.7-1.0 x 0.2-0.3 mm,up_to_1,0.85 x 0.25,0.67,hard,free,longitudinal,isomorphi,,6,"several spp. Of birds, bees, butterflies",insects,biotic,,3-4 mm,smaller_than_5,3.5,15-17 mm