"Expert","Family","Genus","Species","match_to_tree","Major.Group","Minor.Group","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","Corolla.diameter..min...max...prevalent.","Corolla.diameter.min","Corolla.diameter.max","fm_scoring_corolla_diam","Hypanthium.length..min...max...prevalent.","Family.y","Genus.y","Species.y","Genus.b"
"Fabian Michelangeli","Melastomataceae","Acanthella","sprucei","Melastomataceae_Acanthella","Melastomatoideae","Marcetieae","dry",50,100,"75",4,5,NA,NA,NA,NA,"12; 15",NA,NA,NA,"10; 12","Melastomataceae","Acanthella","sprucei","Acanthella"
"Karinne Valdemarin","Myrtaceae","Accara","elegans","Myrtaceae_Accara","Myrteae","Myrtinae","fleshy",40,40,"40",3,3,NA,NA,"insects","biotic","?",NA,NA,NA,"absent","Myrtaceae","Accara","elegans","Accara"
"Fabian Michelangeli","Melastomataceae","Aciotis","purpurascens","Melastomataceae_Aciotis","Melastomatoideae","Marcetieae","fleshy",NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,"3.5; 4.5",NA,NA,NA,"2; 3 ","Melastomataceae","Aciotis","purpurascens","Aciotis"
"Fabian Michelangeli","Melastomataceae","Acisanthera","quadrata","Melastomataceae_Acisanthera","Melastomatoideae","Marcetieae","dry",NA,NA,NA,0.55,0.75,NA,NA,NA,NA,"5; 6",NA,NA,NA,"2; 2.5","Melastomataceae","Acisanthera","quadrata","Acisanthera"
"Peter Wilson","Myrtaceae","Actinodium","cunninghamii","Myrtaceae_Actinodium","Chamelaucieae","Chamelauciinae","dry",1,1,"",NA,NA,NA,NA,"insects","biotic","c. 3 mm",NA,NA,NA,"c. 2 mm","Myrtaceae","Actinodium","cunninghamii","Actinodium"
"Fabian Michelangeli","Melastomataceae","Adelobotrys","adscendens","Melastomataceae_Adelobotrys","Melastomatoideae","Merianieae","dry",100,100,"100",0.55,0.65,NA,NA,"insects","biotic","12; 15.5",NA,NA,NA,"6; 6.5","Melastomataceae","Adelobotrys","adscendens","Adelobotrys"
"Shirley Graham","Lythraceae","Adenaria","floribunda","Lythraceae_Adenaria","","","dry",7,20,"13.5",0.9,1.3,0.8,1.2,"abiotic","abiotic","2.0-2.5",NA,NA,NA,"2.5-5.0","Lythraceae","Adenaria","floribunda","Adenaria"
"Peter Wilson","Myrtaceae","Agonis","","Myrtaceae_Agonis","Leptospermeae","","dry",3,6,"",1.2,1.5,NA,NA,"insects","biotic","8–12 mm",NA,NA,NA,"1.5–2 mm","Myrtaceae","Agonis","","Agonis"
"Karinne Valdemarin","Myrtaceae","Algrizea","minor","Myrtaceae_Algrizea","Myrteae","Pliniinae","fleshy",2,3,"2,5",4,4,NA,NA,"insects","biotic","?",NA,NA,NA,"absent","Myrtaceae","Algrizea","minor","Algrizea"
"Fabian Michelangeli","Melastomataceae","Allomaieta","hirsuta","Melastomataceae_Allomaieta","Melastomatoideae","Cyphostyleae","dry",100,100,"100",0.6,0.65,NA,NA,NA,NA,"6",NA,NA,NA,"18; 24","Melastomataceae","Allomaieta","hirsuta","Allomaieta"
"Darin Penneys","Melastomataceae","Allomorphia","urophylla","Melastomataceae_Allomorphia","Melastomatoideae","Sonerileae","dry",100,100,"100",NA,NA,NA,NA,"insects","biotic","7",NA,NA,NA,"","Melastomataceae","Allomorphia","urophylla","Allomorphia"
"Fabian Michelangeli","Melastomataceae","Alloneuron","ulei","Melastomataceae_Alloneuron","Melastomatoideae","Cyphostyleae","dry",100,100,"100",0.6,0.75,NA,NA,NA,NA,"2.4",NA,NA,NA,"1; 1.4","Melastomataceae","Alloneuron","ulei","Alloneuron"
"Andrew Thornhill","Myrtaceae","Allosyncarpia","ternata","Myrtaceae_Allosyncarpia","Eucalypteae","Mesicalypt (as per Thornhill et al. 2019)","Dry",1,2,"1,5",NA,NA,NA,NA,"insects","biotic","5",NA,NA,NA,"","Myrtaceae","Allosyncarpia","ternata","Allosyncarpia"
"Peter Wilson","Myrtaceae","Aluta","aspera","Myrtaceae_Aluta","Chamelaucieae","Alutinae","dry",1,1,"",NA,NA,NA,NA,"insects","biotic","7–12 mm",NA,NA,NA,"c. 3 mm","Myrtaceae","Aluta","aspera","Aluta"
"Fabian Michelangeli","Alzateaceae","Alzatea","verticillata","Alzateaceae_Alzatea","","","dry",40,60,"50",NA,NA,NA,NA,"insects","biotic","na",NA,NA,NA,"1.5-2","Alzateaceae","Alzatea","verticillata","Alzatea"
"Shirley Graham","Lythraceae","Ammannia","coccinea","Lythraceae_Ammannia","","","dry",100,500,"300",0.3,0.4,0.3,0.5,"insects","biotic","1.0-2.5, prev 2 mm",NA,NA,NA,"1.0-6.0, prev 2-3 mm","Lythraceae","Ammannia","coccinea","Ammannia"
NA,NA,NA,NA,"Myrtaceae_Amomyrtella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Amomyrtella","guili","Amomyrtella"
NA,NA,NA,NA,"Myrtaceae_Amomyrtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Amomyrtus","meli","Amomyrtus"
"Darin Penneys","Melastomataceae","Amphiblemma","cymosum","Melastomataceae_Amphiblemma","Melastomatoideae","Sonerileae","dry",100,100,"100",0.5,1.5,NA,NA,"insects","biotic","4; 43; 22",NA,NA,NA,"","Melastomataceae","Amphiblemma","cymosum","Amphiblemma"
"Darin Penneys","Melastomataceae","Amphorocalyx","latifolius","Melastomataceae_Amphorocalyx","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.5,1,NA,NA,"insects","biotic","14; 42; 30",NA,NA,NA,"","Melastomataceae","Amphorocalyx","latifolius","Amphorocalyx"
"Fabian Michelangeli","Melastomataceae","Anaectocalyx","bracteosa","Melastomataceae_Anaectocalyx","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.55,0.75,NA,NA,"insects","biotic","12; 14",NA,NA,NA,"4; 6","Melastomataceae","Anaectocalyx","bracteosa","Anaectocalyx"
"Andrew Thornhill","Myrtaceae","Angophora","euryphylla","Myrtaceae_Angophora","Eucalypteae","Eucalypt (as per Thornhill et al. 2019)","Dry",NA,NA,NA,1,10,NA,NA,"insects/vertebrates","biotic","4;5;4 (Sepals)",NA,NA,NA,"","Myrtaceae","Angophora","euryphylla","Angophora"
"Darin Penneys","Melastomataceae","Antherotoma","naudinii","Melastomataceae_Antherotoma","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.5,0.5,0.5,0.5,"insects","biotic","8; 9; 8.5",NA,NA,NA,"","Melastomataceae","Antherotoma","naudinii","Antherotoma"
"Fabian Michelangeli","Melastomataceae","Appendicularia","thymifolia","Melastomataceae_Appendicularia","Melastomatoideae","Marcetieae","dry",100,100,"100",0.5,0.55,NA,NA,"insects","biotic","",NA,NA,NA,"","Melastomataceae","Appendicularia","thymifolia","Appendicularia"
NA,NA,NA,NA,"Myrtaceae_Archirhodomyrtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Archirhodomyrtus","paitensis","Archirhodomyrtus"
"Andrew Thornhill","Myrtaceae","Arillastrum","gummiferum","Myrtaceae_Arillastrum","Eucalypteae","Newcalypt (as per Thornhill et al. 2019)","Dry",NA,NA,NA,NA,NA,NA,NA,"insects","biotic","4",NA,NA,NA,"","Myrtaceae","Arillastrum","gummiferum","Arillastrum"
"Fabian Michelangeli","Melastomataceae","Arthrostemma","ciliatum","Melastomataceae_Arthrostemma","Melastomatoideae","Rhexieae","dry",100,100,"100",1,1,1,1,"insects","biotic","20; 30",NA,NA,NA,"7; 10","Melastomataceae","Arthrostemma","ciliatum","Arthrostemma"
"Peter Wilson","Myrtaceae","Astartea","fascicularis","Myrtaceae_Astartea","Chamelaucieae","Astarteinae","dry",3,NA,"",NA,1,NA,NA,"insects","biotic","6–9 mm",NA,NA,NA,"1.5–2 mm ","Myrtaceae","Astartea","fascicularis","Astartea"
"Peter Wilson","Myrtaceae","Asteromyrtus","angustifolia","Myrtaceae_Astereomyrtus","Leptospermeae","","dry",3,6,"",3,4.5,NA,NA,"insects","biotic","9–18 mm",NA,NA,NA,"4–11 mm long","Myrtaceae","Asteromyrtus","angustifolia","Astereomyrtus"
"Darin Penneys","Melastomataceae","Astrocalyx","calycina","Melastomataceae_Astrocalyx","Melastomatoideae","Astronieae","dry",100,100,"100",0.5,1.8,NA,NA,"insects","biotic","14; 15; 14.5",NA,NA,NA,"0.5; 1; 0.75","Melastomataceae","Astrocalyx","calycina","Astrocalyx"
"Darin Penneys","Melastomataceae","Astronidium","morobiense","Melastomataceae_Astronidium","Melastomatoideae","Astronieae","dry",100,100,"100",0.75,2.5,NA,NA,"insects","biotic","7; 20; 12",NA,NA,NA,"","Melastomataceae","Astronidium","morobiense","Astronidium"
"Peter Wilson","Myrtaceae","Astus","tetragonus","Myrtaceae_Astus","Chamelaucieae","Rinziinae","dry",1,1,"",1.2,1.2,NA,NA,"insects","biotic","3–5 mm",NA,NA,NA,"1–2.5 mm (excl. sepals 1–1.2 mm long)","Myrtaceae","Astus","tetragonus","Astus"
NA,NA,NA,NA,"Myrtaceae_Austromyrtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Austromyrtus","dulcis","Austromyrtus"
"Fabian Michelangeli","Melastomataceae","Axinaea","floribunda","Melastomataceae_Axinaea","Melastomatoideae","Merianieae","dry",50,50,"50",1,1.25,NA,NA,"vertebrates","biotic","6; 8",NA,NA,NA,"2; 3","Melastomataceae","Axinaea","floribunda","Axinaea"
"Fabian Michelangeli","Crypteroniaceae","Axinandra","zeylanica","Crypteroniaceae_Axinandra","","","dry",6,12,"9",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","Crypteroniaceae","Axinandra","zeylanica","Axinandra"
"Peter Wilson","Myrtaceae","Babingtonia","camphorosmae","Myrtaceae_Babingtonia","Chamelaucieae","Hysterobaeckeinae","dry",NA,NA,"",1,1.6,NA,NA,"insects","biotic","8–11 mm",NA,NA,NA,"1.5–2.2 mm long","Myrtaceae","Babingtonia","camphorosmae","Babingtonia"
"Peter Wilson","Myrtaceae","Backhousia","hughesii","Myrtaceae_Backhousia","Backhousieae","","dry",1,2,"",NA,NA,NA,NA,"insects","biotic","8.5–9.5 mm",NA,NA,NA,"2–2.5 mm","Myrtaceae","Backhousia","hughesii","Backhousia"
"Peter Wilson","Myrtaceae","Balaustion","pulcherrimum","Myrtaceae_Balaustion","Chamelaucieae","Hysterobaeckeinae","dry",NA,NA,"",2.5,2.5,NA,NA,"vertebrates","biotic","15–25 mm",NA,NA,NA,"9–20 mm","Myrtaceae","Balaustion","pulcherrimum","Balaustion"
"Peter Wilson","Myrtaceae","Barongia","lophandra","Myrtaceae_Barongia","Kanieae","","dry",1,2,"",6,6,NA,NA,NA,NA,"20–30 mm ",NA,NA,NA,"c. 2 mm (excluding sepals 2 mm long)","Myrtaceae","Barongia","lophandra","Barongia"
"Darin Penneys","Melastomataceae","Barthea","barthei","Melastomataceae_Barthea","Melastomatoideae","Sonerileae","dry",100,100,"100",2.2,3.2,NA,NA,"insects","biotic","22; 45; 33",NA,NA,NA,"","Melastomataceae","Barthea","barthei","Barthea"
"Peter Wilson","Myrtaceae","Basisperma","lanceolata","Myrtaceae_Basisperma","Kanieae","","dry",1,1,"",3,3,NA,NA,NA,NA,"c. 6 mm",NA,NA,NA,"c. 2 mm (excluding sepals 1 mm long)","Myrtaceae","Basisperma","lanceolata","Basisperma"
"Peter Wilson","Myrtaceae","Beaufortia","squarrosa","Myrtaceae_Beaufortia","Melaleuceae","","dry",1,3,"",0.5,0.5,NA,NA,"insects","biotic","c. 8 mm (but flowers clustered and stamens spreading widely)",NA,NA,NA,"2.5–4 mm ","Myrtaceae","Beaufortia","squarrosa","Beaufortia"
"Darin Penneys","Melastomataceae","Beccarianthus","pulcherrimus","Melastomataceae_Beccarianthus","Melastomatoideae","Astronieae","dry",100,100,"100",1,2.5,NA,NA,"vertebrates","biotic","12; 25; 20",NA,NA,NA,"","Melastomataceae","Beccarianthus","pulcherrimus","Beccarianthus"
"Fabian Michelangeli","Melastomataceae","Behuria","glutinosa","Melastomataceae_Behuria","Melastomatoideae","Cambessedesieae","dry",100,100,"100",0.6,1,NA,NA,"insects","biotic","13; 16",NA,NA,NA,"4; 6","Melastomataceae","Behuria","glutinosa","Behuria"
"Fabian Michelangeli","Melastomataceae","Bellucia","pentamera","Melastomataceae_Bellucia","Melastomatoideae","Henrietteeae","fleshy",100,100,"100",0.6,0.8,NA,NA,"insects","biotic","15; 20",NA,NA,NA,"9; 11","Melastomataceae","Bellucia","pentamera","Bellucia"
"Fabian Michelangeli","Melastomataceae","Bertolonia","wurdackiana","Melastomataceae_Bertolonia","Melastomatoideae","Bertolonieae","dry",100,100,"100",0.4,0.55,NA,NA,"insects","biotic","7.8; 8.3",NA,NA,NA,"2.7; 2.9","Melastomataceae","Bertolonia","wurdackiana","Bertolonia"
"Darin Penneys","Melastomataceae","Blakea","schlimii","Melastomataceae_Blakea","Melastomatoideae","Blakeeae","fleshy",100,100,"100",0.6,1.8,NA,NA,"insects","biotic","10; 160; 60",NA,NA,NA,"","Melastomataceae","Blakea","schlimii","Blakea"
"Darin Penneys","Melastomataceae","Blastus","borneensis","Melastomataceae_Blastus","Melastomatoideae","Sonerileae","dry",100,100,"100",0.3,1.8,NA,NA,"insects","biotic","2.5; 11; 5",NA,NA,NA,"","Melastomataceae","Blastus","borneensis","Blastus"
"Carolyn Proença","Myrtaceae","Blepharocalyx","salicifolia","Myrtaceae_Blepharocalyx","Myrteae","Blepharocalycinae","fleshy",1,11,"6",3,10,NA,NA,"insects","biotic","2.5mm; 4mm; 4mm",2.5,4,3.25,"0.5;1; 2mm","Myrtaceae","Blepharocalyx","salicifolia","Blepharocalyx"
"Fabian Michelangeli","Melastomataceae","Boyania","ayangannae","Melastomataceae_Boyania","Melastomatoideae","Sonerileae","dry",100,100,"100",NA,NA,NA,NA,"insects","biotic","8; 13",NA,NA,NA,"2.1; 2.5","Melastomataceae","Boyania","ayangannae","Boyania"
"Fabian Michelangeli","Melastomataceae","Brachyotum","angustifolium","Melastomataceae_Brachyotum","Melastomatoideae","Melastomateae","dry",100,100,"100",0.5,0.9,NA,NA,"vertebrates","biotic","10; 12",NA,NA,NA,"4; 5","Melastomataceae","Brachyotum","angustifolium","Brachyotum"
"Fabian Michelangeli","Penaeaceae","Brachysiphon","fucatus","Penaeaceae_Brachysiphon","","","dry",NA,NA,NA,3,3.4,NA,NA,NA,NA,"n/a",NA,NA,NA,"5; 6","Penaeaceae","Brachysiphon","fucatus","Brachysiphon"
"Darin Penneys","Melastomataceae","Bredia","okinawensis","Melastomataceae_Bredia","Melastomatoideae","Sonerileae","dry",100,100,"100",0.4,1,NA,NA,"insects","biotic","10; 24; 17",NA,NA,NA,"","Melastomataceae","Bredia","okinawensis","Bredia"
"Olivier Maurin, Ian Turner","Combretaceae","Buchenavia","tetraphylla","Combretaceae_Buchenavia","Combretoideae","Combreteae / Terminaliinae","fleshy",1,1,"1",5,40,NA,NA,"insects","biotic","absent",NA,NA,NA,"2.5-5 mm","Combretaceae","Buchenavia","tetraphylla","Buchenavia"
"Fabian Michelangeli","Melastomataceae","Bucquetia","glutinosa","Melastomataceae_Bucquetia","Melastomatoideae","Melastomateae","dry",100,100,"100",NA,NA,NA,NA,"insects","biotic","12; 14",NA,NA,NA,"5","Melastomataceae","Bucquetia","glutinosa","Bucquetia"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Callisthene","microphylla","Vochysiaceae_Callisthene","","","Dry",3,6,"4.5",5,10,3,7,"insects","biotic","0.5-1.3 cm long",5,13,9,"not measured","Vochysiaceae","Callisthene","microphylla","Callisthene"
"Darin Penneys","Melastomataceae","Calvoa","crassinoda","Melastomataceae_Calvoa","Melastomatoideae","Sonerileae","dry",100,100,"100",0.5,2,NA,NA,"insects","biotic","14; 40; 28",NA,NA,NA,"","Melastomataceae","Calvoa","crassinoda","Calvoa"
"Fabian Michelangeli","Melastomataceae","Calycogonium","rosmarinifolium","Melastomataceae_Calycogonium","Melastomatoideae","Miconieae","fleshy",15,20,"",1.7,2.3,NA,NA,"insects","biotic","4.5; 5.0",NA,NA,NA,"2.5","Melastomataceae","Calycogonium","rosmarinifolium","Calycogonium"
"Paulo Gaem","Myrtaceae","Calycolpus","goetheanus","Myrtaceae_Calycolpus","Myrteae","Myrtinae","Fleshy",3,200,"101.5",1.5,5,NA,NA,"insects","biotic","?",NA,NA,NA,"1; 8; 3-5","Myrtaceae","Calycolpus","goetheanus","Calycolpus"
"Peter Wilson","Myrtaceae","Calytrix","leschenaultii","Myrtaceae_Calytrix","Chamelaucieae","Calytricinae","dry",1,1,"",2.5,3.5,NA,NA,"insects","biotic","10–16 mm",NA,NA,NA,"6–11 mm","Myrtaceae","Calytrix","leschenaultii","Calytrix"
"Fabian Michelangeli","Melastomataceae","Cambessedesia","eichlerii","Melastomataceae_Cambessedesia","Melastomatoideae","Cambessedesieae","dry",100,100,"100",0.5,0.5,0.5,0.5,"insects","biotic","4.5; 5.5",NA,NA,NA,"5; 6","Melastomataceae","Cambessedesia","eichlerii","Cambessedesia"
"Peter Hoch","Onagraceae","Camissonia","tanacetifolia","Onagraceae_Camissonia","Subfam. Onagroideae","Tribe Onagreae","dry",80,160,"120",1.3,2.2,NA,NA,"insects","biotic","10; 45; 20",10,45,27.5,"1.5; 8; 3","Onagraceae","Camissonia","tanacetifolia","Camissonia"
"Shirley Graham","Lythraceae","Capuronia","benoistii","Lythraceae_Capuronia","","","dry",5,8,"6.5",2.9,3.2,2.3,2.7,NA,NA,"1.3 mm",NA,NA,NA,"1-2 mm","Lythraceae","Capuronia","benoistii","Capuronia"
"Fabian Michelangeli","Melastomataceae","Castratella","piloselloides","Melastomataceae_Castratella","Melastomatoideae","Melastomateae","dry",100,100,"100",0.7,0.8,NA,NA,"insects","biotic","8.5; 11",NA,NA,NA,"6","Melastomataceae","Castratella","piloselloides","Castratella"
"Fabian Michelangeli","Melastomataceae","Catocoryne","linnaeoides","Melastomataceae_Catocoryne","Melastomatoideae","Miconieae","fleshy",50,50,"50",0.3,0.4,NA,NA,"insects","biotic","4; 5",NA,NA,NA,"2","Melastomataceae","Catocoryne","linnaeoides","Catocoryne"
"Fabian Michelangeli","Melastomataceae","Centradenia","floribunda","Melastomataceae_Centradenia","Melastomatoideae","Melastomateae","dry",50,50,"50",0.5,0.8,NA,NA,"insects","biotic","4; 7",NA,NA,NA,"2.5; 2.7","Melastomataceae","Centradenia","floribunda","Centradenia"
"Fabian Michelangeli","Melastomataceae","Centronia","laurifolia","Melastomataceae_Centronia","Melastomatoideae","Merianieae","dry",100,100,"100",2,2,2,2,"insects","biotic","14; 15.5",NA,NA,NA,"8","Melastomataceae","Centronia","laurifolia","Centronia"
"Fabian Michelangeli","Melastomataceae","Chaetolepis","lindeniana","Melastomataceae_Chaetolepis","Melastomatoideae","Melastomateae","dry",100,100,"100",0.5,0.8,NA,NA,"insects","biotic","5; 6",NA,NA,NA,"2.5; 3","Melastomataceae","Chaetolepis","lindeniana","Chaetolepis"
"Fabian Michelangeli","Melastomataceae","Chaetostoma","pungens","Melastomataceae_Chaetostoma","Melastomatoideae","Microlicieae","dry",100,100,"100",0.5,0.65,NA,NA,"insects","biotic","9; 12.5",NA,NA,NA,"4; 7","Melastomataceae","Chaetostoma","pungens","Chaetostoma"
"Darin Penneys","Melastomataceae","Chalybea","macrocarpa","Melastomataceae_Chalybea","Melastomatoideae","Blakeeae","fleshy",100,100,"100",0.8,1.6,NA,NA,"vertebrates","biotic","18; 40; 30",NA,NA,NA,"","Melastomataceae","Chalybea","macrocarpa","Chalybea"
"Peter Hoch","Onagraceae","Chemerion","latifolium","Onagraceae_Chamaenerion","Subfam. Onagroideae","Tribe Epilobieae","dry",200,500,"350",1,2.5,NA,NA,"insects","biotic","20; 70; c. 35",20,70,45,"0 (no hypan.)","Onagraceae","Chemerion","latifolium","Chamaenerion"
"Peter Wilson","Myrtaceae","Chamelaucium","uncinatum","Myrtaceae_Chamelaucium","Chamelaucieae","Chamelauciinae","dry",1,1,"",6,6,NA,NA,"insects","biotic","15–20 mm",NA,NA,NA,"4.5–7 mm","Myrtaceae","Chamelaucium","uncinatum","Chamelaucium"
"Karinne Valdemarin","Myrtaceae","Chamguava","schipii","Myrtaceae_Chamguava","Myrteae","Myrtinae","fleshy",1,4,"2,5",6,10,NA,NA,NA,NA,"?",NA,NA,NA,"absent","Myrtaceae","Chamguava","schipii","Chamguava"
"Fabian Michelangeli","Melastomataceae","Charianthus","purpureus","Melastomataceae_Charianthus","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.6,0.95,NA,NA,"vertebrates","biotic","9; 12",NA,NA,NA,"4.2; 5.5","Melastomataceae","Charianthus","purpureus","Charianthus"
"Peter Wilson","Myrtaceae","Cheyniana","microphylla","Myrtaceae_Cheyniana","Chamelaucieae","Hysterobaeckeinae","dry",6,27,"",1.4,1.7,NA,NA,"vertebrates","biotic","10–14 mm",NA,NA,NA,"4–8 mm long","Myrtaceae","Cheyniana","microphylla","Cheyniana"
"Peter Hoch","Onagraceae","Chylismia","claviformis","Onagraceae_Chylismia","Subfam. Onagroideae","Tribe Onagreae","dry",80,160,"120",0.5,1.8,NA,NA,"insects","biotic","2; 30; c. 15",2,30,16,"0.4; 40; ?","Onagraceae","Chylismia","claviformis","Chylismia"
"Darin Penneys","Melastomataceae","Cincinnobotrys","felicis","Melastomataceae_Cincinnobotrys","Melastomatoideae","Sonerileae","dry",100,100,"100",0.3,2,NA,NA,"insects","biotic","7; 32; 15",NA,NA,NA,"","Melastomataceae","Cincinnobotrys","felicis","Cincinnobotrys"
