Family,Genus,Species,tip_tree,tip_name
Melastomataceae,Wurdastom,hexamera,Wurdastom_hexamera,Wurdastom_hexamera
Lythraceae,Woodfordia,fruticosa,Woodfordia_fruticosa,Woodfordia_fruticosa
Melastomataceae,Bertolonia,wurdackiana,Bertolonia_paranaensis,why false?
Melastomataceae,Cambessedesia,eichlerii,Cambessedesia_eichleri,updated
Myrtaceae,Whiteodendron,moultonianum,Whiteodendron_moultonianum,Whiteodendron_moultonianum
Myrtaceae,Welchiodendron,longivalve,Welchiodendron_longivalve,Welchiodendron_longivalve
Melastomataceae,Votomita,guianensis,Votomita_guianensis,Votomita_guianensis
Vochysiaceae,Vochysia,guianensis,Vochysia_guianensis,Vochysia_guianensis
Myrtaceae,Verticordia,huegelii,Verticordia_huegelii,Verticordia_huegelii
Melastomataceae,Leandra,subseriata,Leandra_australis,updated
Myrtaceae,Plinia,silvestris,Plinia_pinnata,updated
Myrtaceae,Psidium,,Psidium_sp,updated
Myrtaceae,Siphoneugena,guifoyleana,Siphoneugena_guilfoyleiana,updated
Melastomataceae,Astronidium,morobiense,Astronidium_pickeringii,updated
Melastomataceae,Dichaetanthera,,Dichaetanthera,updated
Melastomataceae,Dionycha,bojerii,Dyonicha_bojeri,updated
Melastomataceae,Plethiandra,hookeri,Plethiandra_robusta,updated
Melastomataceae,Sonerila,plagiocardia,Sonerila_cantonensis,updated
Myrtaceae,Mitranthes,glabra,Myrcia_psilophylla,DROP
Melastomataceae,Brachyotum,angustifolium,Brachyotum_quinquinerve,updated
Melastomataceae,Clidemia,eggersii,Clidemia_hirta,updated
Melastomataceae,Eriocnema,gomesii,Eriocnema_fulva,updated
Melastomataceae,Killipia,peduculata,Killipia_pedunculata,updated
Melastomataceae,Macrocentrum,repens,Macrocentrum_droseroides,updated
Melastomataceae,Maieta,poeppiggii,Maieta_poeppigii,updated
Melastomataceae,Monolena,primuliflora,Monolena_primulaeflora,updated
Melastomataceae,Necranium,gigantophyllum,Necramium_gigantophyllum,updated
Melastomataceae,Poteranthera,pussila,Potheranthera_pusilla,updated
Melastomataceae,Salpinga,peruviana,Salpinga_maranoensis,updated
Melastomataceae,Siphanthera,hostmanii,Siphanthera_hostmannii,updated
Melastomataceae,Tibouchina,ochypetala,Tibouchina_ochypetalum,DROP
Melastomataceae,Warneckea,,Warneckea,updated
Penaeaceae,Olinia,,Olinia,updated
Myrtaceae,Acca,sellowiana,Feijoa_sellowiana,updated
Myrtaceae,Gossia,,Gossia_clusioides,updated
Myrtaceae,Kanakomyrtus,,Kanakomyrtus,updated
Myrtaceae,Lenwebbia,prominens,Lenwebbia_lasiocladum,updated
Myrtaceae,Lophomyrtus,bullata,Lophomyrtus_obcordata,updated
Myrtaceae,Myrteola,nummularia,Myrteola_acerosa,updated
Myrtaceae,Uromyrtus,,Uromyrtus_artensis,updated
Vochysiaceae,Qualea,parviflora,Qualea_cryptantha,updated
Myrtaceae,Algrizea,minor,Algrizea_macrochlamys,updated
Combretaceae,Anogeissus,dhofarica,Terminalia_dhofarica,DROP
Combretaceae,Buchenavia,tetraphylla,Buchenavia_reticulata,updated
Combretaceae,Calopyxis,grandidieri,Combretum_grandidierum,DROP
Combretaceae,Calycopteris,floribunda,Getonia_floribunda,updated
Combretaceae,Pteleopsis,myrtifolia,Terminalia_myrtifolia,DROP
Combretaceae,Thiloa,glaucocarpa,Combretum_glaucocarpum,DROP
Onagraceae,Boisduvalia,subulata,Epilobium_subdentatum,DROP
Onagraceae,Camissonia,tanacetifolia,Camissonia_strigulosa,updated
Onagraceae,Chemerion,latifolium,Chamaenerion_latifolium,updated
Myrtaceae,Agonis,,Agonis,updated
Myrtaceae,Asteromyrtus,angustifolia,Astereomyrtus_symphiocarpa,updated
Myrtaceae,Baeckea,crispiflora,Ericomyrtus_serpyllifolia,updated
Myrtaceae,Callistemon,comboynensis,Melaleuca_comboynensis,updated
Myrtaceae,Harmogia,virgata,Sannantha_virgata,DROP
Myrtaceae,Kunzea,,Kunzea,updated
Myrtaceae,Lophostemon,suaveolens,Lophostemon_confertus,updated
Myrtaceae,Malleostemon,,Malleostemon,updated
Myrtaceae,Melaleuca,platycalyx,Melaleuca_quinquenervia,updated
Myrtaceae,Metrosideros,tomentosa,Metrosideros_angustifolia,updated
Myrtaceae,Taxandria,,Taxandria,updated
Myrtaceae,Thaleropia,hypargyrea,Thaleropia_queenslandica,updated
Myrtaceae,Xanthomyrtus,,Xanthomyrtus_compacta,updated
Lythraceae,Lythrum,alatum,Lythrum_salicaria,updated
Lythraceae,Sonneratia,,Sonneratia,updated
Myrtaceae,Acmena,acuminatissima,Syzygium_acuminatissimum,updated
Myrtaceae,Acmenosperma,claviflorum,Syzygium_claviflorum,DROP
Myrtaceae,Ugni,myricoides,Ugni_myricoides,Ugni_myricoides
Melastomataceae,Tryssophyton,merumense,Tryssophyton_merumense,Tryssophyton_merumense
Melastomataceae,Tristemma,mauritianum,Tristemma_mauritianum,Tristemma_mauritianum
Myrtaceae,Tristaniopsis,whiteana,Tristaniopsis_whiteana,Tristaniopsis_whiteana
Myrtaceae,Triplarina,paludosa,Triplarina_paludosa,Triplarina_paludosa
Melastomataceae,Triolena,amazonica,Triolena_amazonica,Triolena_amazonica
Melastomataceae,Trembleya,parviflora,Trembleya_parviflora,Trembleya_parviflora
Lythraceae,Trapa,natans,Trapa_natans,Trapa_natans
Melastomataceae,Tococa,guianensis,Tococa_guianensis,Tococa_guianensis
Melastomataceae,Tigridiopalma,magnifica,Tigridiopalma_magnifica,Tigridiopalma_magnifica
Melastomataceae,Tibouchinopsis,mirabilis,Tibouchinopsis_mirabilis,Tibouchinopsis_mirabilis
Melastomataceae,Tibouchina,longifolia,Tibouchina_longifolia,DROP
Melastomataceae,Tibouchina,lepidota,Tibouchina_lepidota,DROP
Melastomataceae,Tibouchina,heteromalla,Tibouchina_heteromalla,DROP
Melastomataceae,Tibouchina,aspera,Tibouchina_aspera,Tibouchina_aspera
Myrtaceae,Thryptomene,australis,Thryptomene_australis,Thryptomene_australis
Melastomataceae,Tetrazygia,urceolata,Tetrazygia_urceolata,Tetrazygia_urceolata
Lythraceae,Tetrataxis,salicifolia,Tetrataxis_salicifolia,Tetrataxis_salicifolia
Onagraceae,Tetrapteron,palmeri,Tetrapteron_palmeri,Tetrapteron_palmeri
Myrtaceae,Tetrapora,preissiana,Tetrapora_preissiana,Tetrapora_preissiana
Melastomataceae,Tessmannianthus,quadridomius,Tessmannianthus_quadridomius,Tessmannianthus_quadridomius
Combretaceae,Terminalia,buceras,Terminalia_buceras,DROP
Combretaceae,Terminalia,ankaranensis,Terminalia_ankaranensis,Terminalia_ankaranensis
Myrtaceae,Syzygium,acuminatissimum,Syzygium_acuminatissimum,Syzygium_acuminatissimum
Myrtaceae,Syncarpia,glomulifera,Syncarpia_glomulifera,Syncarpia_glomulifera
Melastomataceae,Svitramia,wurdackiana,Svitramia_wurdackiana,Svitramia_wurdackiana
Melastomataceae,Styrophyton,caudatum,Styrophyton_caudatum,Styrophyton_caudatum
Penaeaceae,Stylapterus,micranthus,Stylapterus_micranthus,Stylapterus_micranthus
Combretaceae,Strephonema,mannii,Strephonema_mannii,Strephonema_mannii
Myrtaceae,Stockwellia,quadrifida,Stockwellia_quadrifida,Stockwellia_quadrifida
Myrtaceae,Stenostegia,congesta,Stenostegia_congesta,Stenostegia_congesta
Melastomataceae,Stenodon,suberosus,Stenodon_suberosus,Stenodon_suberosus
Myrtaceae,Sphaerantia,discolor,Sphaerantia_discolor,Sphaerantia_discolor
Melastomataceae,Spathandra,blakeoides,Spathandra_blakeoides,Spathandra_blakeoides
Penaeaceae,Sonderothamnus,petraeus,Sonderothamnus_petraeus,Sonderothamnus_petraeus
Myrtaceae,Seorsus,clavifolius,Seorsus_clavifolius,Seorsus_clavifolius
Melastomataceae,Schwackaea,cupheoides,Schwackaea_cupheoides,Schwackaea_cupheoides
Myrtaceae,Scholtzia,uberiflora,Scholtzia_uberiflora,Scholtzia_uberiflora
Melastomataceae,Sarcopyramis,napalensis,Sarcopyramis_napalensis,Sarcopyramis_napalensis
Myrtaceae,Sannantha,crassa,Sannantha_crassa,Sannantha_crassa
Melastomataceae,Sandemania,hoehnei,Sandemania_hoehnei,Sandemania_hoehnei
Vochysiaceae,Salvertia,convallariodora,Salvertia_convallariodora,Salvertia_convallariodora
Melastomataceae,Rupestrea,johnwurdackiana,Rupestrea_johnwurdackiana,Rupestrea_johnwurdackiana
Melastomataceae,Rousseauxia,madagascariensis,Rousseauxia_madagascariensis,Rousseauxia_madagascariensis
Lythraceae,Rotala,ramosior,Rotala_ramosior,Rotala_ramosior
Myrtaceae,Ristantia,gouldii,Ristantia_gouldii,Ristantia_gouldii
Myrtaceae,Rinzia,carnosa,Rinzia_carnosa,Rinzia_carnosa
Penaeaceae,Rhynchocalyx,lawsonioides,Rhynchocalyx_lawsonioides,Rhynchocalyx_lawsonioides
Melastomataceae,Rhynchanthera,grandiflora,Rhynchanthera_grandiflora,Rhynchanthera_grandiflora
Myrtaceae,Rhodomyrtus,tomentosus,Rhodomyrtus_tomentosus,Rhodomyrtus_tomentosus
Myrtaceae,Rhodamnia,cinerea,Rhodamnia_cinerea,Rhodamnia_cinerea
Melastomataceae,Rhexia,virginica,Rhexia_virginica,Rhexia_virginica
Melastomataceae,Quipuanthus,epipetricus,Quipuanthus_epipetricus,Quipuanthus_epipetricus
Myrtaceae,Purpureostemon,ciliatum,Purpureostemon_ciliatum,Purpureostemon_ciliatum
Lythraceae,Punica,protopunica,Punica_protopunica,Punica_protopunica
Melastomataceae,Pterolepis,glomerata,Pterolepis_glomerata,Pterolepis_glomerata
Melastomataceae,Pterogastra,divaricata,Pterogastra_divaricata,Pterogastra_divaricata
Melastomataceae,Pternandra,multiflora,Pternandra_multiflora,DROP
Melastomataceae,Pternandra,cogniauxii,Pternandra_cogniauxii,DROP
Melastomataceae,Pternandra,azurea,Pternandra_azurea,Pternandra_azurea
Myrtaceae,Psiloxylon,mauritianum,Psiloxylon_mauritianum,Psiloxylon_mauritianum
Melastomataceae,Pseudoernestia,glandulosa,Pseudoernestia_glandulosa,Pseudoernestia_glandulosa
Myrtaceae,Pseudanamomis,umbellulifera,Pseudanamomis_umbellulifera,Pseudanamomis_umbellulifera
Lythraceae,Pleurophora,anomala,Pleurophora_anomala,Pleurophora_anomala
Myrtaceae,Pleurocalyptus,pancheri,Pleurocalyptus_pancheri,Pleurocalyptus_pancheri
Melastomataceae,Pleroma,angustifolium,Pleroma_angustifolium,Pleroma_angustifolium
Melastomataceae,Pleiochiton,blepharodes,Pleiochiton_blepharodes,Pleiochiton_blepharodes
Myrtaceae,Pimenta,pseudocaryophyllus,Pimenta_pseudocaryophyllus,Pimenta_pseudocaryophyllus
Melastomataceae,Pilocosta,oerstedii,Pilocosta_oerstedii,Pilocosta_oerstedii
Myrtaceae,Pilidiostigma,tropicum,Pilidiostigma_tropicum,Pilidiostigma_tropicum
Myrtaceae,Pileanthus,limacis,Pileanthus_limacis,Pileanthus_limacis
Lythraceae,Physocalymma,scaberrimum,Physocalymma_scaberrimum,Physocalymma_scaberrimum
Melastomataceae,Phyllagathis,elliptica,Phyllagathis_elliptica,Phyllagathis_elliptica
Melastomataceae,Phainantha,laxiflora,Phainantha_laxiflora,Phainantha_laxiflora
Myrtaceae,Pericalymma,spongiocaule,Pericalymma_spongiocaule,Pericalymma_spongiocaule
Penaeaceae,Penaea,mucronata,Penaea_mucronata,Penaea_mucronata
Lythraceae,Pemphis,acidula,Pemphis_acidula,Pemphis_acidula
Lythraceae,Pehria,compacta,Pehria_compacta,Pehria_compacta
Melastomataceae,Pachyloma,huberioides,Pachyloma_huberioides,Pachyloma_huberioides
Melastomataceae,Pachyanthus,moensis,Pachyanthus_moensis,Pachyanthus_moensis
Melastomataceae,Oxyspora,paniculata,Oxyspora_paniculata,DROP
Melastomataceae,Oxyspora,cordata,Oxyspora_cordata,Oxyspora_cordata
Myrtaceae,Oxymyrrhine,gracilis,Oxymyrrhine_gracilis,Oxymyrrhine_gracilis
Melastomataceae,Ossaea,boliviensis,Ossaea_boliviensis,DROP
Melastomataceae,Ossaea,amygdaloides,Ossaea_amygdaloides,Ossaea_amygdaloides
Melastomataceae,Osbeckia,stellata,Osbeckia_stellata,Osbeckia_stellata
Melastomataceae,Opisthocentra,clidemioides,Opisthocentra_clidemioides,Opisthocentra_clidemioides
Onagraceae,Oenothera,glazioviana,Oenothera_glazioviana,Oenothera_glazioviana
Myrtaceae,Octamyrtus,pleiopetala,Octamyrtus_pleiopetala,Octamyrtus_pleiopetala
Melastomataceae,Ochthephilus,repentinus,Ochthephilus_repentinus,Ochthephilus_repentinus
Myrtaceae,Ochrosperma,lineare,Ochrosperma_lineare,Ochrosperma_lineare
Melastomataceae,Noterophila,bivalvis,Noterophila_bivalvis,Noterophila_bivalvis
Melastomataceae,Nepsera,aquatica,Nepsera_aquatica,Nepsera_aquatica
Myrtaceae,Neomitranthes,cordifolia,Neomitranthes_cordifolia,Neomitranthes_cordifolia
Onagraceae,Neoholmgrenia,andina,Neoholmgrenia_andina,Neoholmgrenia_andina
Myrtaceae,Neofabricia,myrtifolia,Neofabricia_myrtifolia,Neofabricia_myrtifolia
Myrtaceae,Myrtus,communis,Myrtus_communis,Myrtus_communis
Myrtaceae,Myrtella,beccarii,Myrtella_beccarii,Myrtella_beccarii
Myrtaceae,Myrtastrum,rufopunctatum,Myrtastrum_rufopunctatum,Myrtastrum_rufopunctatum
Myrtaceae,Myrrhinium,atropurpureum,Myrrhinium_atropurpureum,Myrrhinium_atropurpureum
Melastomataceae,Myriaspora,egensis,Myriaspora_egensis,Myriaspora_egensis
Myrtaceae,Myrciaria,disticha,Myrciaria_disticha,Myrciaria_disticha
Myrtaceae,Myrcianthes,fragrans,Myrcianthes_fragrans,Myrcianthes_fragrans
Myrtaceae,Myrcia,tomentosa,Myrcia_tomentosa,Myrcia_tomentosa
Myrtaceae,Myrceugenia,alpigena,Myrceugenia_alpigena,Myrceugenia_alpigena
Melastomataceae,Mouriri,gleasoniana,Mouriri_gleasoniana,Mouriri_gleasoniana
Melastomataceae,Monochaetum,lineatum,Monochaetum_lineatum,Monochaetum_lineatum
Myrtaceae,Mitrantia,bilocularis,Mitrantia_bilocularis,Mitrantia_bilocularis
Myrtaceae,Micromyrtus,obovata,Micromyrtus_obovata,Micromyrtus_obovata
Melastomataceae,Microlicia,cordata,Microlicia_cordata,Microlicia_cordata
Melastomataceae,Microlepis,oleaefolia,Microlepis_oleaefolia,Microlepis_oleaefolia
Melastomataceae,Miconia,albicans,Miconia_albicans,Miconia_albicans
