  ,Expert,Family,Genus,most_common_life_form,age,n_species,div_rate_eps0,div_rate_eps0.5,div_rate_eps0.9,fm_scoring_fruit,seed.min,seed.max,fm_scoring_seed_number,seed.length.min,seed.length.max,seed.width.min,seed.width.max,fm_scoring_pollination1,fm_scoring_pollination2,Corolla.diameter..min...max...prevalent.,Corolla.diameter.min,Corolla.diameter.max,fm_scoring_corolla_diam,,
Melastomataceae_Dissotis,Darin Penneys,Melastomataceae,Dissotis,NA,12.268,63,0.338,0.283,0.161,Dry,100,100,100,0.4,0.8,NA,NA,insects,biotic,14; 85; 38,NA,NA,NA,,
Melastomataceae_Dolichoura,Fabian Michelangeli,Melastomataceae,Dolichoura,climber,NA,NA,NA,NA,NA,Dry,100,100,100,1,2,0.7,1,insects,biotic,5; 8,11,18.8,14.9,changed by Eve,
Lythraceae_Duabanga,Shirley Graham,Lythraceae,Duabanga,woody perennial,38.103,3,0.029,0.018,0.005,Dry,100,100,100,4,5.5,0.5,0.5,vertebrates,biotic,2.5 cm,NA,NA,NA,,
Melastomataceae_Dyonicha,Darin Penneys,Melastomataceae,Dyonicha,NA,NA,NA,NA,NA,NA,Dry,100,100,100,0.7,0.9,NA,NA,insects,biotic,17; 42; 30,NA,NA,NA,,
Penaeaceae_Endonema,Fabian Michelangeli,Penaeaceae,Endonema,woody perennial,NA,NA,NA,NA,NA,Dry,NA,NA,NA,NA,NA,NA,NA,vertebrates,biotic,n/a,NA,NA,NA,,"Schönenberger, J., Conti, E., & Rutschmann, F. (2007). Penaeaceae. In Flowering Plants· Eudicots (pp. 282-291). Springer, Berlin, Heidelberg. Eve to check in Kew"
Myrtaceae_Enekbatus,Peter Wilson,Myrtaceae,Enekbatus,woody perennial,38.88,10,0.059,0.044,0.017,Dry,1,2,NA,1.1,1.8,NA,NA,insects,biotic,c. 8 mm,NA,NA,NA,,
Onagraceae_Epilobium,Peter Hoch,Onagraceae,Epilobium,herbaceous perennial,21.041,306,0.272,0.239,0.164,Dry,60,200,130,1.5,2.6,NA,NA,"insects, vertebrates",biotic,12; 30; c 20 ,12,30,21,,
Onagraceae_Eremothera,Peter Hoch,Onagraceae,Eremothera,annual,17.391,13,0.147,0.112,0.045,Dry,80,160,120,0.9,2.1,NA,NA,insects,biotic,4; 20; c. 16,4,20,12,,
Myrtaceae_Ericomyrtus,Peter Wilson,Myrtaceae,Ericomyrtus,woody perennial,28.273,4,0.049,0.032,0.009,Dry,8,12,NA,0.5,1,NA,NA,insects,biotic,4‚Äì5(‚Äì6) mm,NA,NA,NA,,
Melastomataceae_Eriocnema,Fabian Michelangeli,Melastomataceae,Eriocnema,climber,15.992,2,0.043,0.025,0.006,Dry,NA,NA,NA,0.9,0.9,0.9,0.9,insects,biotic,10; 13,NA,NA,NA,,
Vochysiaceae_Erisma,Gustavo Shimizu & Deise Gon√ßalves,Vochysiaceae,Erisma,woody perennial,27.828,27,0.118,0.095,0.046,Dry,1,1,1,NA,NA,NA,NA,insects,biotic,0.5-2 cm long,5,20,12.5,,
Vochysiaceae_Erismadelphus,Gustavo Shimizu & Deise Gon√ßalves,Vochysiaceae,Erismadelphus,woody perennial,18.837,4,0.074,0.049,0.014,Dry,1,1,1,NA,NA,NA,NA,NA,NA,ca. 1 cm long,10,10,10,,
Melastomataceae_Ernestia,Fabian Michelangeli,Melastomataceae,Ernestia,annual,14.337,15,0.189,0.145,0.061,Dry,100,100,100,0.7,0.9,0.5,0.7,insects,biotic,8;9,8,18,13,not monophyletic - https://www.researchgate.net/publication/304997220_Phylogenetic_relationships_in_the_Marcetia_alliance_Melastomeae_Melastomataceae_and_implications_for_generic_circumscription,
Myrtaceae_Eucalyptopsis,Andrew Thornhill,Myrtaceae,Eucalyptopsis,woody perennial,29.21,2,0.024,0.014,0.003,Dry,NA,NA,NA,NA,NA,NA,NA,insects,biotic,4,NA,NA,NA,,
Myrtaceae_Eucalyptus,Andrew Thornhill,Myrtaceae,Eucalyptus,woody perennial,61.946,1096,0.113,0.102,0.076,Dry,NA,NA,NA,0.7,8,NA,NA,abiotic/insects/vertebrates,abiotic/biotic,Calyptra,NA,NA,NA,,
Myrtaceae_Eugenia,Eve Lucas,Myrtaceae,Eugenia,woody perennial,32.161,1212,0.221,0.199,0.149,Fleshy,1,15,8,1.5,38,2,29.5,insects,biotic,5; 46; 15,5,46,25.5,,
Onagraceae_Eulobus,Peter Hoch,Onagraceae,Eulobus,annual,8.044,4,0.172,0.114,0.033,Dry,48,100,74,1,2,NA,NA,insects,biotic,10; 25; 20,10,25,17.5,,
Myrtaceae_Euryomyrtus,Peter Wilson,Myrtaceae,Euryomyrtus,woody perennial,37.544,9,0.059,0.043,0.016,Dry,2,3,NA,1.5,2,NA,NA,insects,biotic,4‚Äì7.5 mm,NA,NA,NA,,
Myrtaceae_Feijoa,Eve Lucas,Myrtaceae,Feijoa,woody perennial,45.021,1,0,0,0,Fleshy,20,40,30,2,3,1.7,2,birds,biotic,NA,3.5,4,3.75,,
Melastomataceae_Fordiophyton,Darin Penneys,Melastomataceae,Fordiophyton,NA,22.741,15,0.119,0.091,0.038,Dry,100,100,100,0.4,0.9,NA,NA,insects,biotic,13; 38; 18,NA,NA,NA,,
Melastomataceae_Fritzschia,Fabian Michelangeli,Melastomataceae,Fritzschia,herbaceous perennial,13.862,12,0.179,0.135,0.054,Dry,100,100,100,0.6,1.1,0.4,0.6,insects,biotic,12; 14,15,30,22.5,changed by Eve,
Onagraceae_Fuchsia,Peter Hoch,Onagraceae,Fuchsia,woody perennial,50.768,129,0.096,0.082,0.052,Fleshy,10,500,255,1,2.5,NA,NA,"insects, vertebrates",biotic,1; 22; c. 12,1,22,11.5,,
Lythraceae_Galpinia,Shirley Graham,Lythraceae,Galpinia,woody perennial,23.283,1,0,0,0,Dry,3,10,6.5,3,4.5,2.5,4,NA,NA,4 mm,NA,NA,NA,,
Onagraceae_Gayophytum,Peter Hoch,Onagraceae,Gayophytum,annual,16.552,11,0.145,0.108,0.042,Dry,8,200,104,0.7,2.3,NA,NA,insects,biotic,1; 15; c. 6,1,15,8,,
Combretaceae_Getonia,"Olivier Maurin, Ian Turner",Combretaceae,Getonia,woody perennial,55.379,1,0,0,0,Dry,1,1,1,5,6,1,3,insects,biotic,"1,5; 2,0",6,6,NA,,
Lythraceae_Ginoria,Shirley Graham,Lythraceae,Ginoria,woody perennial,19.473,15,0.139,0.107,0.045,Dry,50,50,50,0.5,2.5,0.1,0.6,insects,biotic,"6-8.5, avg. 7.0",NA,NA,NA,,
Penaeaceae_Glischrocolla,Fabian Michelangeli,Penaeaceae,Glischrocolla,woody perennial,NA,NA,NA,NA,NA,Dry,NA,NA,NA,NA,NA,NA,NA,vertebrates,biotic,n/a,NA,NA,NA,,"Schönenberger, J., Conti, E., & Rutschmann, F. (2007). Penaeaceae. In Flowering Plants· Eudicots (pp. 282-291). Springer, Berlin, Heidelberg. Eve to check in Kew"
Onagraceae_Gongylocarpus,Peter Hoch,Onagraceae,Gongylocarpus,annual,43.537,4,0.032,0.021,0.006,Dry,4,28,16,NA,NA,NA,NA,insects,biotic,5; 20; 5-6 and 15-18 (2 spp.),5,20,12.5,,
Myrtaceae_Gossia,Eve Lucas,Myrtaceae,Gossia,woody perennial,52.274,39,0.07,0.057,0.03,Fleshy,1,8,4.5,6,10,3,7,insects,biotic,NA,6,15,10.5,,
Melastomataceae_Graffenrieda,Fabian Michelangeli,Melastomataceae,Graffenrieda,woody perennial,22.625,73,0.19,0.16,0.093,Dry,100,100,100,2.5,3,NA,NA,insects,biotic,5; 5.5,5,18,23,FFM note: flower size according to Flora of Sao Paulo. EL note - adjusted to incorporate Centronia and to include F's original min fl size,
Melastomataceae_Gravesia,Darin Penneys,Melastomataceae,Gravesia,epiphyte,30.502,125,0.158,0.136,0.085,Dry,100,100,100,0.3,1.7,NA,NA,insects,biotic,4; 52; 26,NA,NA,NA,,
Combretaceae_Guiera,"Olivier Maurin, Ian Turner",Combretaceae,Guiera,woody perennial,55.379,1,0,0,0,Dry,1,1,1,10,20,1,2,insects,biotic,"0,1; 0,2",1,2,NA,,
Melastomataceae_Guyonia,Darin Penneys,Melastomataceae,Guyonia,epiphyte,17.733,15,0.153,0.117,0.049,Dry,100,100,100,0.8,1.2,NA,NA,insects,biotic,7; 7; 7,NA,NA,NA,,
Lythraceae_Heimia,Shirley Graham,Lythraceae,Heimia,woody perennial,45.048,4,0.031,0.02,0.006,Dry,50,50,50,0.5,1,0.3,0.8,insects,biotic,5-6 mm,NA,NA,NA,,
Melastomataceae_Henriettea,Fabian Michelangeli,Melastomataceae,Henriettea,woody perennial,22.94,68,0.184,0.154,0.089,Fleshy,100,100,100,0.5,0.7,NA,NA,insects,biotic,8,12,14,13,FFM note: flower size according to Flora of Sao Paulo,
Melastomataceae_Henriettella,Fabian Michelangeli,Melastomataceae,Henriettella,woody perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.6,0.75,NA,NA,insects,biotic,3.2; 3.4,10,12,11,FFM note: flower size according to Flora of Sao Paulo,
Melastomataceae_Heterocentron,Fabian Michelangeli,Melastomataceae,Heterocentron,herbaceous perennial,7.247,14,0.364,0.278,0.115,Dry,100,100,100,0.6,0.7,NA,NA,insects,biotic,14; 16,NA,NA,NA,,"Whiffin, T. P. (1972). A systematic study of the genus Heterocentron (Melastomataceae). The University of Texas at Austin. Eve to check at Kew. also:https://bioone.org/journals/Lundellia/volume-1999/issue-2/1097-993X-2.1.142/iHeterocentron-chimalapanum-i-Melastomataceae--A-New-Species-from-Oaxaca/10.25224/1097-993X-2.1.142.full"
Myrtaceae_Heteropyxis,Peter Wilson,Myrtaceae,Heteropyxis,woody perennial,22.878,3,0.048,0.03,0.008,Dry,10,20,NA,1,2,NA,NA,insects,biotic,2.5‚Äì5 mm,NA,NA,NA,,
Melastomataceae_Heterotis,fabian Michelangeli,Melastomataceae,Heterotis,woody perennial,15.99,6,0.112,0.078,0.025,Dry,100,100,100,0.6,0.9,NA,NA,insects,biotic,1.7; 2.2,NA,NA,NA,,
Myrtaceae_Homalospermum,Peter Wilson,Myrtaceae,Homalospermum,woody perennial,47.8,1,0,0,0,Dry,4,4,NA,2.5,3.5,NA,NA,insects,biotic,c. 15 mm,NA,NA,NA,,
Myrtaceae_Homoranthus,Peter Wilson,Myrtaceae,Homoranthus,woody perennial,20.446,31,0.168,0.136,0.068,Dry,1,1,NA,1.5,1.5,NA,NA,vertebrates,biotic,c. 4 mm,NA,NA,NA,,
Melastomataceae_Huberia,Fabian Michelangeli,Melastomataceae,Huberia,woody perennial,8.143,37,0.443,0.362,0.187,Dry,100,100,100,2.4,6.3,NA,NA,insects,biotic,12; 25,22,67,44.5,FFM note: flower size according to Flora of Sao Paulo,
Myrtaceae_Hypocalymma,Peter Wilson,Myrtaceae,Hypocalymma,woody perennial,18.209,28,0.183,0.147,0.072,Dry,1,3,NA,1.5,1.5,NA,NA,insects,biotic,8‚Äì11 mm,NA,NA,NA,,
Myrtaceae_Kanakomyrtus,Eve Lucas,Myrtaceae,Kanakomyrtus,woody perennial,48.372,6,0.037,0.026,0.008,Fleshy,40,300,170,2,2.5,0.5,0.5,insects,biotic,NA,8,10,9,,
Myrtaceae_Kania,Peter Wilson,Myrtaceae,Kania,woody perennial,60.299,6,0.03,0.021,0.007,Dry,NA,NA,NA,2.5,3,NA,NA,NA,NA,c. 3.5‚Äì4 mm (petals held ¬± erect),NA,NA,NA,,
Myrtaceae_Kardomia,Peter Wilson,Myrtaceae,Kardomia,woody perennial,29.294,6,0.061,0.043,0.014,Dry,3,6,NA,1,1,NA,NA,insects,biotic,to 7 mm ,NA,NA,NA,,
Melastomataceae_Killipia,Fabian Michelangeli,Melastomataceae,Killipia,woody perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.6,0.75,NA,NA,vertebrates,biotic,5; 6,NA,NA,NA,syno of Miconia,
Myrtaceae_Kjellbergiodendron,Peter Wilson,Myrtaceae,Kjellbergiodendron,woody perennial,46.478,1,0,0,0,Fleshy,1,1,NA,18,40,NA,NA,NA,NA,c. 20 mm,NA,NA,NA,,
Lythraceae_Koehneria,Shirley Graham,Lythraceae,Koehneria,NA,15.97,1,0,0,0,Dry,10,30,20,1.3,1.7,1,1.2,NA,NA,7-7.5 mm,NA,NA,NA,,
Vochysiaceae_Korupodendron,Gustavo Shimizu & Deise Gon√ßalves,Vochysiaceae,Korupodendron,woody perennial,18.837,1,0,0,0,Dry,1,1,1,NA,NA,NA,NA,NA,NA,ca. 2 cm long,20,20,20,,
Myrtaceae_Kunzea,Peter Wilson,Myrtaceae,Kunzea,woody perennial,37.928,78,0.115,0.097,0.057,Dry,NA,NA,NA,0.5,0.65,NA,NA,insects,biotic,3‚Äì4.5 mm,NA,NA,NA,,
Lythraceae_Lagerstroemia,Shirley Graham,Lythraceae,Lagerstroemia,woody perennial,38.103,61,0.108,0.09,0.051,Dry,8,72,40,3,6,4,16,insects,biotic,10 mm,NA,NA,NA,,
Combretaceae_Laguncularia,"Olivier Maurin, Ian Turner",Combretaceae,Laguncularia,woody perennial,86.423,1,0,0,0,Dry,1,1,1,18,20,3,5,insects,biotic,"0,3; 0,5",4,6,NA,,
Myrtaceae_Lamarchea,Peter Wilson,Myrtaceae,Lamarchea,woody perennial,NA,2,NA,NA,NA,Dry,6,9,NA,2,3,NA,NA,vertebrates,biotic,c. 7 mm,NA,NA,NA,,
Melastomataceae_Lavoisiera,Fabian Michelangeli,Melastomataceae,Lavoisiera,woody perennial,5.206,42,0.718,0.589,0.313,Dry,100,100,100,1.4,1.7,NA,NA,insects,biotic,8; 27,24,36,30,FFM note: flower size according to Flora of Sao Paulo,
Lythraceae_Lawsonia,Shirley Graham,Lythraceae,Lawsonia,woody perennial,40.745,1,0,0,0,Dry,30,50,40,1.2,2.2,1.3,2,insects,biotic,3.0 mm,NA,NA,NA,,
Melastomataceae_Leandra,Fabian Michelangeli,Melastomataceae,Leandra,herbaceous perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.4,0.5,NA,NA,insects,biotic,1.5; 2,3,18,10.5,FFM note: flower size according to Flora of Sao Paulo,
Melastomataceae_Leiostegia,Fabian Michelangeli,Melastomataceae,Leiostegia,herbaceous perennial,NA,NA,NA,NA,NA,Dry,100,100,100,0.7,0.8,0.5,0.6,insects,biotic,3.8; 4.2,1.8,4.2,3,changed by Eve - monospecific genus resurrected recently,
Myrtaceae_Lenwebbia,Eve Lucas,Myrtaceae,Lenwebbia,woody perennial,36.035,2,0.019,0.011,0.003,Fleshy,1,28,14.5,4,7,2,4,insects,biotic,NA,10,12,11,,
Myrtaceae_Leptospermum,Peter Wilson,Myrtaceae,Leptospermum,woody perennial,34.705,96,0.132,0.112,0.068,Dry,NA,NA,NA,1,1.5,NA,NA,insects,biotic,8‚Äì10 mm ,NA,NA,NA,,
Melastomataceae_Lijndenia,Fabian Michelangeli,Melastomataceae,Lijndenia,woody perennial,24.789,16,0.112,0.086,0.037,Fleshy,1,2,1.5,3,4,2.5,3,insects,biotic,NA,4,7,5.5,changed by Eve - monospecific genus resurrected recently,
Myrtaceae_Lindsayomyrtus,Peter Wilson,Myrtaceae,Lindsayomyrtus,woody perennial,68.492,1,0,0,0,NA,1,3,NA,10,23,NA,NA,NA,NA,22‚Äì28 mm,NA,NA,NA,,
Melastomataceae_Lithobium,Darin Penneys,Melastomataceae,Lithobium,NA,51.653,1,0,0,0,Dry,50,50,50,0.2,0.3,NA,NA,insects,biotic,7; 9; 8,NA,NA,NA,,
Myrtaceae_Lithomyrtus,Eve Lucas,Myrtaceae,Lithomyrtus,woody perennial,47.431,11,0.051,0.038,0.015,Fleshy,1,3,2,2,3,1,1.5,insects,biotic,NA,3,18,10.5,,
Onagraceae_Lopezia,Peter Hoch,Onagraceae,Lopezia,annual,46.218,35,0.077,0.063,0.032,Dry,4,120,62,0.6,2,NA,NA,insects,biotic,4; 20; c. 10,4,20,12,,
Myrtaceae_Lophomyrtus,Eve Lucas,Myrtaceae,Lophomyrtus,woody perennial,36.035,3,0.03,0.019,0.005,Fleshy,2,8,5,2,4,2.8,3,insects,biotic,NA,0.9,1.1,1,,
Myrtaceae_Lophostemon,Peter Wilson,Myrtaceae,Lophostemon,woody perennial,42.483,4,0.042,0.029,0.01,Dry,NA,NA,NA,1,3,NA,NA,insects,biotic,7‚Äì9 mm,NA,NA,NA,,
Melastomataceae_Loreya,Fabian Michelangeli,Melastomataceae,Loreya,woody perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.85,1,0.6,0.8,insects,biotic,13; 15,13,50,31.5,changed by Eve ,"Home  NYBG Press  Books in Series  Memoirs of The New York Botanical Garden  Systematic Studies in the Melastomataceae: Bellucia, Loreya, Macairea. Mem (50)"
Melastomataceae_Loricalepis,Fabian Michelangeli,Melastomataceae,Loricalepis,woody perennial,23.525,2,0.029,0.017,0.004,Dry,45,55,50,1.9,0.6,1,0.3,insects,biotic,1.5; 1.7,15,24,23,changed by Eve ,
Lythraceae_Lourtella,Shirley Graham,Lythraceae,Lourtella,woody perennial,48.879,1,0,0,0,Dry,30,50,40,0.8,1,0.5,0.7,NA,NA,3.5 mm,NA,NA,NA,,
Onagraceae_Ludwigia,Peter Hoch,Onagraceae,Ludwigia,woody perennial,82.6,103,0.056,0.048,0.029,Dry,50,400,225,0.5,1.5,NA,NA,insects,biotic,2; 55; c. 20,2,55,28.5,,
Myrtaceae_Luma,Eve Lucas,Myrtaceae,Luma,woody perennial,45.828,2,0.015,0.009,0.002,Fleshy,1,16,8.5,3,6,3,4,insects,biotic,NA,9,17,13,,
Combretaceae_Lumnitzera,"Olivier Maurin, Ian Turner",Combretaceae,Lumnitzera,woody perennial,73.807,2,0.022,0.015,0.005,Dry,1,1,1,4,5,1,2,insects or vertebrates,biotic,"0,8; 1,0",6,8,NA,,
Myrtaceae_Lysicarpus,Peter Wilson,Myrtaceae,Lysicarpus,woody perennial,67.149,1,0,0,0,Dry,3,9,NA,5.5,6,NA,NA,insects,biotic,c. 10 mm,NA,NA,NA,,
Lythraceae_Lythrum,Shirley Graham,Lythraceae,Lythrum,herbaceous perennial,51.031,43,0.074,0.061,0.032,Dry,8,60,34,0.4,0.8,0.3,0.7,insects,biotic,0.5-2 mm,NA,NA,NA,,
Melastomataceae_Macairea,Fabian Michelangeli,Melastomataceae,Macairea,woody perennial,22.877,23,0.137,0.109,0.051,Dry,100,100,100,0.6,0.7,NA,NA,insects,biotic,7; 8.5,8.5,8.5,8.5,FFM note: flower size according to Flora of Sao Paulo,
Melastomataceae_Macrocentrum,Fabian Michelangeli,Melastomataceae,Macrocentrum,epiphyte,27.359,28,0.122,0.098,0.048,Dry,100,100,100,0.45,0.55,NA,NA,insects,biotic,4.5,NA,NA,NA,,
Combretaceae_Macropteranthes,"Olivier Maurin, Ian Turner",Combretaceae,Macropteranthes,woody perennial,17.747,5,0.091,0.062,0.019,Dry,1,1,1,3,3,1,1,insects,biotic,"0,5; 0,8",6,13,NA,,
Melastomataceae_Maieta,Fabian Michelangeli,Melastomataceae,Maieta,woody perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.5,0.6,NA,NA,insects,biotic,5; 8.5,NA,NA,NA,,
Myrtaceae_Malleostemon,Peter Wilson,Myrtaceae,Malleostemon,woody perennial,19.69,14,0.134,0.102,0.042,Dry,1,1,NA,1.5,1.5,NA,NA,insects,biotic,4‚Äì5 mm,NA,NA,NA,,
Melastomataceae_Marcetia,Fabian Michelangeli,Melastomataceae,Marcetia,woody perennial,13.862,30,0.245,0.198,0.098,Dry,100,100,100,0.7,0.8,NA,NA,insects,biotic,5; 7,10,14,12,FFM note: flower size according to Flora of Sao Paulo,
Melastomataceae_Mecranium,Fabian Michelangeli,Melastomataceae,Mecranium,woody perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.35,0.4,NA,NA,NA,NA,2.9; 3.3,NA,NA,NA,,
Melastomataceae_Medinilla,Darin Penneys,Melastomataceae,Medinilla,epiphyte,21.239,381,0.28,0.247,0.172,Fleshy,100,100,100,0.4,2,NA,NA,insects,biotic,7; 53; 25,NA,NA,NA,,
Myrtaceae_Melaleuca,Peter Wilson,Myrtaceae,Melaleuca,woody perennial,31.813,465,0.193,0.171,0.121,Dry,NA,NA,NA,1,1.5,NA,NA,vertebrates,biotic,8.5‚Äì10.5 mm,NA,NA,NA,,
Melastomataceae_Melastoma,Darin Penneys,Melastomataceae,Melastoma,woody perennial,12.861,110,0.365,0.312,0.193,Dry,100,100,100,0.9,0.9,0.9,0.9,insects,biotic,13; 92; 50,NA,NA,NA,,
Melastomataceae_Melastomastrum,Darin Penneys,Melastomataceae,Melastomastrum,woody perennial,17.733,9,0.124,0.091,0.033,Dry,100,100,100,0.5,0.6,NA,NA,insects,biotic,22; 55,NA,NA,NA,,
Melastomataceae_Memecylon,Fabian Michelangeli,Melastomataceae,Memecylon,woody perennial,3.941,400,1.52,1.345,0.942,Fleshy,1,1,NA,NA,NA,NA,NA,insects,biotic,2; 2.5,NA,NA,NA,,
Melastomataceae_Meriania,Fabian Michelangeli,Melastomataceae,Meriania,woody perennial,21.625,111,0.218,0.186,0.115,Dry,100,100,100,1.2,1.4,NA,NA,NA,NA,23.7; 24.7,18,50,34,FFM note: flower size according to Flora of Sao Paulo,
Melastomataceae_Merianthera,Fabian Michelangeli,Melastomataceae,Merianthera,woody perennial,34.596,7,0.056,0.04,0.014,Dry,100,100,100,1,1.5,NA,NA,insects,biotic,14; 25,NA,NA,NA,,
Myrtaceae_Metrosideros,Peter Wilson,Myrtaceae,Metrosideros,woody perennial,60.299,78,0.072,0.061,0.036,Dry,NA,NA,NA,2,3,NA,NA,"insects, vertebrates",biotic,9‚Äì12 mm,NA,NA,NA,,
Melastomataceae_Miconia,Fabian Michelangeli,Melastomataceae,Miconia,woody perennial,16.68,1927,0.453,0.412,0.316,Fleshy,100,100,100,0.8,0.9,NA,NA,insects,biotic,2.5; 3,NA,NA,NA,,
Melastomataceae_Microlepis,Fabian Michelangeli,Melastomataceae,Microlepis,woody perennial,NA,NA,NA,NA,NA,Dry,100,100,100,0.4,0.6,NA,NA,insects,biotic,6; 14,16,22,19,,
Melastomataceae_Microlicia,Fabian Michelangeli,Melastomataceae,Microlicia,woody perennial,5.723,190,0.917,0.797,0.523,Dry,100,100,100,0.4,0.8,NA,NA,insects,biotic,3.5; 4.5,10,28,19,,
Myrtaceae_Micromyrtus,Peter Wilson,Myrtaceae,Micromyrtus,woody perennial,28.11,52,0.141,0.117,0.064,Dry,1,1,NA,1.2,1.2,NA,NA,NA,NA,4‚Äì5 mm,NA,NA,NA,,
Myrtaceae_Mitrantia,Peter Wilson,Myrtaceae,Mitrantia,woody perennial,49.049,1,0,0,0,Dry,1,2,NA,6,8,NA,NA,NA,NA, to 2.5 mm,NA,NA,NA,,
Melastomataceae_Monochaetum,Fabian Michelangeli,Melastomataceae,Monochaetum,woody perennial,5.638,56,0.714,0.594,0.332,Dry,100,100,100,0.4,0.45,NA,NA,insects,biotic,8.5; 11,NA,NA,NA,,
Melastomataceae_Monolena,Fabian Michelangeli,Melastomataceae,Monolena,epiphyte,30.215,16,0.092,0.071,0.03,Dry,100,100,100,0.9,0.9,0.9,0.9,insects,biotic,15; 24,NA,NA,NA,,
Melastomataceae_Mouriri,Fabian Michelangeli,Melastomataceae,Mouriri,woody perennial,21.928,105,0.212,0.181,0.111,Fleshy,1,5,3,8,9,NA,NA,insects,biotic,3.5; 5.7,10,15.2,12.6,,
Myrtaceae_Myrceugenia,Eve Lucas,Myrtaceae,Myrceugenia,woody perennial,52.291,60,0.078,0.065,0.037,Fleshy,1,10,5.5,0.6,7,0.5,5.2,insects,biotic,NA,2.5,21,12.5,,
Myrtaceae_Myrcia,Eve Lucas,Myrtaceae,Myrcia,woody perennial,40.224,769,0.165,0.148,0.108,Fleshy,1,6,3.5,2.5,3.5,2,3,insects,biotic,NA,0.6,2,1.3,,
Myrtaceae_Myrcianthes,Eve Lucas,Myrtaceae,Myrcianthes,woody perennial,39.218,39,0.093,0.076,0.04,Fleshy,1,4,2.5,5,30,2,10,insects,biotic,4; 30; ,4,30,17,,
Myrtaceae_Myrciaria,Thiago Flores,Myrtaceae,Myrciaria,woody perennial,33.889,32,0.102,0.083,0.042,Fleshy,1,2,1.5,3,15,2,10,insects,biotic,Tetramery,NA,NA,NA,,
Melastomataceae_Myriaspora,Fabian Michelangeli,Melastomataceae,Myriaspora,woody perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.4,0.5,NA,NA,insects,biotic,8; 12,NA,NA,NA,,
Myrtaceae_Myrrhinium,Eve Lucas,Myrtaceae,Myrrhinium,woody perennial,39.164,3,0.028,0.018,0.005,Fleshy,1,4,2.5,3,5,2.5,3,insects,biotic,NA,8,11,9.5,,
Myrtaceae_Myrtastrum,Eve Lucas,Myrtaceae,Myrtastrum,woody perennial,60.613,1,0,0,0,Fleshy,18,24,21,0.8,1,0.7,0.9,insects,biotic,NA,0.8,1,9,,
Myrtaceae_Myrtella,Eve Lucas,Myrtaceae,Myrtella,woody perennial,47.431,2,0.015,0.009,0.002,Fleshy,2,6,4,1.8,3,1.2,2,insects,biotic,NA,6,12,9,,
Myrtaceae_Myrteola,Eve Lucas,Myrtaceae,Myrteola,woody perennial,35.952,5,0.045,0.031,0.009,Fleshy,5,12,8.5,1.5,2,1,1.8,insects,biotic,NA,0.6,1,0.8,,
Myrtaceae_Myrtus,Karinne Valdemarin,Myrtaceae,Myrtus,woody perennial,28.339,6,0.063,0.044,0.014,Fleshy,8,20,10,2,4,NA,NA,insects,biotic,4-7 mm long,4,7,5.5,,
Melastomataceae_Necramium,Fabian Michelangeli,Melastomataceae,Necramium,woody perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.5,0.62,NA,NA,insects,biotic,2.3; 2.5,NA,NA,NA,,
