  ,Expert,Family,Genus,most_common_life_form,age,n_species,div_rate_eps0,div_rate_eps0.5,div_rate_eps0.9,fm_scoring_fruit,seed.min,seed.max,fm_scoring_seed_number,seed.length.min,seed.length.max,seed.width.min,seed.width.max,fm_scoring_pollination1,fm_scoring_pollination2,Corolla.diameter..min...max...prevalent.,Corolla.diameter.min,Corolla.diameter.max,fm_scoring_corolla_diam,,
Myrtaceae_Neofabricia,Peter Wilson,Myrtaceae,Neofabricia,woody perennial,34.705,3,0.032,0.02,0.005,Dry,8,12,NA,2,2.5,NA,NA,insects,biotic,22‚Äì28 mm,NA,NA,NA,,
Onagraceae_Neoholmgrenia,Peter Hoch,Onagraceae,Neoholmgrenia,annual,12.766,2,0.054,0.032,0.007,Dry,32,80,56,0.7,1.3,NA,NA,insects,biotic,2; 10; 7,2,10,6,,
Myrtaceae_Neomitranthes,Aline Stadnik,Myrtaceae,Neomitranthes,woody perennial,17.444,13,0.147,0.112,0.045,Fleshy,1,4,2.5,NA,NA,NA,NA,insects,biotic,"0.5 - 2,5 mm",0.5,2.5,1.5,,
Melastomataceae_Nepsera,Fabian Michelangeli,Melastomataceae,Nepsera,annual,13.186,1,0,0,0,Dry,100,100,100,0.8,0.9,NA,NA,insects,biotic,4.5; 7,NA,NA,NA,,
Melastomataceae_Noterophila,Fabian Michelangeli,Melastomataceae,Noterophila,annual,13.399,8,0.155,0.112,0.04,Dry,100,100,100,0.5,0.75,NA,NA,insects,biotic,6; 12,NA,NA,NA,,
Myrtaceae_Ochrosperma,Peter Wilson,Myrtaceae,Ochrosperma,woody perennial,41.67,6,0.043,0.03,0.01,Dry,3,3,NA,1.3,1.3,NA,NA,insects,biotic,c. 2.5 mm,NA,NA,NA,,
Melastomataceae_Ochthephilus,Fabian Michelangeli,Melastomataceae,Ochthephilus,woody perennial,23.735,1,0,0,0,Dry,NA,NA,NA,NA,NA,NA,NA,insects,biotic,18.5; 19.5,NA,NA,NA,,
Myrtaceae_Octamyrtus,Eve Lucas,Myrtaceae,Octamyrtus,woody perennial,41.785,6,0.043,0.03,0.01,Fleshy,15,40,27.5,1.5,3,1,2,insects,biotic,NA,10,30,20,,
Onagraceae_Oenothera,Peter Hoch,Onagraceae,Oenothera,herbaceous perennial,8.044,221,0.671,0.585,0.39,Dry,1,200,100.5,0.5,8,NA,NA,insects,biotic,3; 120; c. 40,3,120,61.5,,
Penaeaceae_Olinia,Fabian Michelangeli,Penaeaceae,Olinia,woody perennial,33.068,14,0.08,0.061,0.025,Fleshy,1,1,1,6,10,5,10,insects,biotic,NA,1.6,9.8,5.7,changed by Eve,"Schönenberger, J., Conti, E., & Rutschmann, F. (2007). Penaeaceae. In Flowering Plants· Eudicots (pp. 282-291). Springer, Berlin, Heidelberg. Eve to check in Kew"
Melastomataceae_Opisthocentra,Fabian Michelangeli,Melastomataceae,Opisthocentra,woody perennial,46.693,1,0,0,0,Dry,100,100,100,0.5,0.7,NA,NA,insects,biotic,7; 9,NA,NA,NA,,
Melastomataceae_Osbeckia,Darin Penneys,Melastomataceae,Osbeckia,woody perennial,12.02,53,0.33,0.274,0.152,Dry,100,100,100,0.35,0.9,NA,NA,insects,biotic,11; 65; 40,NA,NA,NA,,
Melastomataceae_Ossaea,Fabian Michelangeli,Melastomataceae,Ossaea,woody perennial,4.084,8,0.509,0.368,0.13,Fleshy,100,100,100,0.8,1.2,NA,NA,insects,biotic,2.5; 5,4.2,14,9.1,,
Myrtaceae_Oxymyrrhine,Peter Wilson,Myrtaceae,Oxymyrrhine,woody perennial,17.416,4,0.08,0.053,0.015,Dry,NA,NA,NA,0.6,0.8,NA,NA,insects,biotic,6‚Äì10 mm,NA,NA,NA,,
Melastomataceae_Oxyspora,Darin Penneys,Melastomataceae,Oxyspora,woody perennial,26.393,38,0.138,0.113,0.059,Dry,100,100,100,0.7,1,NA,NA,insects,biotic,3; 25; 9,NA,NA,NA,,
Melastomataceae_Pachyanthus,Fabian Michelangeli,Melastomataceae,Pachyanthus,woody perennial,NA,NA,NA,NA,NA,Fleshy,20,24,22,1.8,2,NA,NA,insects,biotic,3; 4.5,NA,NA,NA,,
Melastomataceae_Pachyloma,Fabian Michelangeli,Melastomataceae,Pachyloma,woody perennial,22.165,4,0.063,0.041,0.012,Dry,100,100,100,0.9,1,NA,NA,insects,biotic,15; 20,NA,NA,NA,,
Lythraceae_Pehria,Shirley Graham,Lythraceae,Pehria,woody perennial,11.847,1,0,0,0,Dry,50,50,50,0.7,0.9,0.3,0.5,NA,NA,5.0-6.0 mm,NA,NA,NA,,
Lythraceae_Pemphis,Shirley Graham,Lythraceae,Pemphis,woody perennial,47.643,1,0,0,0,Dry,15,20,17.5,2.5,3,1.7,2,vertebrates,biotic,7.0-7.5 mm,NA,NA,NA,,
Penaeaceae_Penaea,Fabian Michelangeli,Penaeaceae,Penaea,woody perennial,10.186,27,0.324,0.259,0.126,Dry,NA,NA,NA,2,2.2,NA,NA,insects,biotic,n/a,NA,NA,NA,,"Schönenberger, J., Conti, E., & Rutschmann, F. (2007). Penaeaceae. In Flowering Plants· Eudicots (pp. 282-291). Springer, Berlin, Heidelberg. Eve to check in Kew"
Myrtaceae_Pericalymma,Peter Wilson,Myrtaceae,Pericalymma,woody perennial,20.976,6,0.085,0.06,0.019,Dry,3,3,NA,1.2,2,NA,NA,insects,biotic,8‚Äì13 mm ,NA,NA,NA,,
Melastomataceae_Phainantha,Fabian Michelangeli,Melastomataceae,Phainantha,climber,37.318,5,0.043,0.029,0.009,Dry,100,100,100,2,2,2,2,insects,biotic,6; 7,NA,NA,NA,,
Melastomataceae_Phyllagathis,Darin Penneys,Melastomataceae,Phyllagathis,NA,24.701,78,0.176,0.149,0.088,Dry,100,100,100,0.3,2,NA,NA,insects,biotic,3; 39; 20,NA,NA,NA,,
Melastomataceae_Physeterostemon,NA,Melastomataceae,Physeterostemon,woody perennial,15.992,5,0.101,0.069,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lythraceae_Physocalymma,Shirley Graham,Lythraceae,Physocalymma,woody perennial,51.596,1,0,0,0,Dry,50,50,50,3.2,4.2,2.7,4,NA,NA,11-15 mm,NA,NA,NA,,
Myrtaceae_Pileanthus,Peter Wilson,Myrtaceae,Pileanthus,woody perennial,21.027,10,0.11,0.081,0.031,Dry,1,1,NA,NA,2,NA,NA,insects,biotic,10‚Äì12 mm,NA,NA,NA,,
Myrtaceae_Pilidiostigma,Eve Lucas,Myrtaceae,Pilidiostigma,woody perennial,48.372,6,0.037,0.026,0.008,Fleshy,5,9,7,3,6,2.5,4,insects,biotic,NA,1.5,1.9,1.7,,
Melastomataceae_Pilocosta,Fabian Michelangeli,Melastomataceae,Pilocosta,annual,12,5,0.134,0.092,0.028,Dry,100,100,100,0.5,0.5,0.5,0.5,insects,biotic,7; 12,NA,NA,NA,,
Myrtaceae_Pimenta,Eve Lucas,Myrtaceae,Pimenta,woody perennial,40.79,28,0.082,0.066,0.032,Fleshy,1,4,2.5,0.5,8,0.5,2.8,insects,biotic,NA,3.5,9,6.25,,
Melastomataceae_Pleiochiton,Fabian Michelangeli,Melastomataceae,Pleiochiton,epiphyte,NA,NA,NA,NA,NA,Fleshy,150,150,150,0.6,0.9,NA,NA,insects,biotic,4; 8,7,21,14,,
Melastomataceae_Pleroma,Fabian Michelangeli,Melastomataceae,Pleroma,woody perennial,10.737,162,0.474,0.41,0.264,Dry,100,100,100,0.6,0.9,NA,NA,insects,biotic,1.5; 2,NA,NA,NA,,
Melastomataceae_Plethiandra,Darin Penneys,Melastomataceae,Plethiandra,epiphyte,21.239,8,0.098,0.071,0.025,Dry,100,100,100,0.5,1,NA,NA,insects,biotic,9; 23; 13,NA,NA,NA,,
Myrtaceae_Pleurocalyptus,Peter Wilson,Myrtaceae,Pleurocalyptus,woody perennial,21.925,2,0.032,0.018,0.004,Dry,NA,NA,NA,4,5,NA,NA,NA,NA,30‚Äì45 mm,NA,NA,NA,,
Lythraceae_Pleurophora,Shirley Graham,Lythraceae,Pleurophora,woody perennial,28.011,8,0.074,0.054,0.019,Dry,3,100,51.5,0.6,1,0.4,0.5,insects,biotic,2-4 mm,NA,NA,NA,,
Myrtaceae_Plinia,Aline Stadnik,Myrtaceae,Plinia,woody perennial,32.829,80,0.133,0.113,0.067,Fleshy,1,2,1.5,NA,NA,NA,NA,insects,biotic,0.8 - 4 mm ,0.8,4,2.4,,
Melastomataceae_Potheranthera,Fabian Michelangeli,Melastomataceae,Potheranthera,annual,NA,NA,NA,NA,NA,Dry,50,50,50,0.8,0.8,0.8,0.8,insects,biotic,3,NA,NA,NA,,
Myrtaceae_Pseudanamomis,Eve Lucas,Myrtaceae,Pseudanamomis,NA,NA,NA,NA,NA,NA,Fleshy,1,3,2,1,1.5,8,1.2,insects,biotic,NA,2.5,3,NA,,
Myrtaceae_Pseudocaryophyllus,Karinne Valdemarin,Myrtaceae,Pseudocaryophyllus,woody perennial,NA,NA,NA,NA,NA,Fleshy,1,3,2,4,8,3.5,5,insects,biotic,9-13 mm long,9,13,6,,
Melastomataceae_Pseudoernestia,Fabian Michelangeli,Melastomataceae,Pseudoernestia,annual,20.187,2,0.034,0.02,0.005,Dry,50,50,50,0.8,0.8,0.8,0.8,insects,biotic,5; 8,NA,NA,NA,,
Myrtaceae_Psidium,Carolyn Proen√ßa,Myrtaceae,Psidium,woody perennial,39.164,103,0.118,0.101,0.062,Fleshy,3,250,126.5,2,9.5,NA,NA,insects,biotic,10mm; 40mm,10,40,25,,
Myrtaceae_Psiloxylon,Peter Wilson,Myrtaceae,Psiloxylon,woody perennial,22.878,1,0,0,0,Fleshy,NA,NA,NA,0.6,0.8,0.4,0.5,insects,biotic,4.5‚Äì5 mm,NA,NA,NA,"TV note: seed width from Tobe, H., & Raven, P. H. (1990)",
Melastomataceae_Pternandra,Darin Penneys,Melastomataceae,Pternandra,woody perennial,66.219,21,0.046,0.036,0.017,Fleshy,100,100,100,0.5,1.25,NA,NA,insects,biotic,4; 28; 15,NA,NA,NA,,
Melastomataceae_Pterogastra,Fabian Michelangeli,Melastomataceae,Pterogastra,herbaceous perennial,18.89,4,0.073,0.049,0.014,Dry,100,100,100,0.8,0.9,NA,NA,insects,biotic,12; 15,NA,NA,NA,,
Melastomataceae_Pterolepis,Fabian Michelangeli,Melastomataceae,Pterolepis,woody perennial,18.89,16,0.147,0.113,0.049,Dry,100,100,100,0.4,0.5,NA,NA,insects,biotic,10; 12,8,51,29.5,,
Lythraceae_Punica,Shirley Graham,Lythraceae,Punica,woody perennial,40.485,2,0.017,0.01,0.002,Fleshy,100,1000,550,4,4.6,1.8,2,"insects, vertebrates",biotic,ca. 2.0 cm,NA,NA,NA,,
Myrtaceae_Purpureostemon,Peter Wilson,Myrtaceae,Purpureostemon,woody perennial,39.957,1,0,0,0,Dry,NA,NA,NA,4.5,6,NA,NA,vertebrates,biotic,12‚Äì18 mm ,NA,NA,NA,,
Vochysiaceae_Qualea,Gustavo Shimizu & Deise Gon√ßalves,Vochysiaceae,Qualea,woody perennial,21.366,66,0.196,0.164,0.094,Dry,3,30,16.5,10,45,3,15,insects,biotic,0.9-7 cm long,9,70,39.5,,
Melastomataceae_Quipuanthus,Fabian Michelangeli,Melastomataceae,Quipuanthus,herbaceous perennial,29.012,1,0,0,0,Dry,100,100,100,0.6,1.2,NA,NA,insects,biotic,14; 17,NA,NA,NA,,
Melastomataceae_Rhexia,Fabian Michelangeli,Melastomataceae,Rhexia,herbaceous perennial,22.165,15,0.122,0.094,0.039,Dry,100,100,100,0.6,0.7,NA,NA,insects,biotic,10; 18,NA,NA,NA,,
Myrtaceae_Rhodamnia,Eve Lucas,Myrtaceae,Rhodamnia,woody perennial,58.486,43,0.064,0.053,0.028,Fleshy,2,30,16,2,6,1.5,4.5,insects,biotic,NA,6,20,13,,
Myrtaceae_Rhodomyrtus,Eve Lucas,Myrtaceae,Rhodomyrtus,woody perennial,41.785,28,0.08,0.064,0.031,Fleshy,5,50,22.5,1.5,5,1,3.5,insects,biotic,NA,15,35,25,,
Melastomataceae_Rhynchanthera,Fabian Michelangeli,Melastomataceae,Rhynchanthera,herbaceous perennial,18.037,19,0.163,0.128,0.057,Dry,100,100,100,0.5,0.65,NA,NA,insects,biotic,15; 25,18,56,37,,
Penaeaceae_Rhynchocalyx,Fabian Michelangeli,Penaeaceae,Rhynchocalyx,woody perennial,31.381,1,0,0,0,Dry,30,60,45,4,5,2,3,insects,biotic,n/a,0.9,1.1,1,changed by Eve,"Schönenberger, J., Conti, E., & Rutschmann, F. (2007). Penaeaceae. In Flowering Plants· Eudicots (pp. 282-291). Springer, Berlin, Heidelberg. Eve to check in Kew"
Myrtaceae_Rinzia,Peter Wilson,Myrtaceae,Rinzia,woody perennial,37.544,21,0.081,0.064,0.029,Dry,1,3,NA,1.4,1.5,NA,NA,insects,biotic,5.5‚Äì7.5 mm,NA,NA,NA,,
Myrtaceae_Ristantia,Peter Wilson,Myrtaceae,Ristantia,woody perennial,49.049,3,0.022,0.014,0.004,Dry,1,3,NA,5,7,NA,NA,NA,NA,c. 6 mm,NA,NA,NA,,
Lythraceae_Rotala,Shirley Graham,Lythraceae,Rotala,annual,26.476,76,0.164,0.138,0.081,Dry,30,300,165,0.3,0.7,0.2,0.4,insects,biotic,2.5 mm,NA,NA,NA,,
Melastomataceae_Rousseauxia,Darin Penneys,Melastomataceae,Rousseauxia,NA,9.348,17,0.303,0.235,0.102,Dry,100,100,100,0.4,1,NA,NA,insects,biotic,32; 40; 35,NA,NA,NA,,
Melastomataceae_Rupestrea,Fabian Michelangeli,Melastomataceae,Rupestrea,woody perennial,NA,NA,NA,NA,NA,Dry,3,4,7.5,3,3.5,NA,NA,insects,biotic,5.7; 7.7,NA,NA,NA,,
Melastomataceae_Salpinga,Fabian Michelangeli,Melastomataceae,Salpinga,herbaceous perennial,34.536,14,0.076,0.058,0.024,Dry,50,50,50,0.7,0.9,NA,NA,insects,biotic,15; 17,22,26.5,24.25,,
Vochysiaceae_Salvertia,Gustavo Shimizu & Deise Gon√ßalves,Vochysiaceae,Salvertia,woody perennial,14.145,1,0,0,0,Dry,3,3,3,4,4,10,12,insects,biotic,3.8-5.2 cm long,38,52,45,,
Melastomataceae_Sandemania,Fabian Michelangeli,Melastomataceae,Sandemania,woody perennial,11.749,1,0,0,0,Dry,100,100,100,0.8,0.9,NA,NA,insects,biotic,3; 5,NA,NA,NA,,
Myrtaceae_Sannantha,Peter Wilson,Myrtaceae,Sannantha,woody perennial,27.076,16,0.102,0.079,0.034,Dry,NA,NA,NA,0.6,0.6,NA,NA,insects,biotic,to 7 mm,NA,NA,NA,,
Melastomataceae_Sarcopyramis,Darin Penneys,Melastomataceae,Sarcopyramis,NA,26.062,4,0.053,0.035,0.01,Dry,100,100,100,0.6,1,NA,NA,insects,biotic,10; 27; 18,NA,NA,NA,,
Myrtaceae_Scholtzia,Peter Wilson,Myrtaceae,Scholtzia,woody perennial,18.216,43,0.206,0.17,0.091,Dry,1,1,NA,0.8,1.9,NA,NA,insects,biotic,5‚Äì6.5 mm ,NA,NA,NA,,
Melastomataceae_Schwackaea,Fabian Michelangeli,Melastomataceae,Schwackaea,annual,12,1,0,0,0,Dry,50,50,50,0.5,0.6,NA,NA,insects,biotic,5; 7,NA,NA,NA,,
Myrtaceae_Seorsus,Peter Wilson,Myrtaceae,Seorsus,woody perennial,27.619,4,0.05,0.033,0.009,Dry,5,12,NA,1.2,1.4,NA,NA,insects,biotic,9‚Äì12 mm,NA,NA,NA,,
Melastomataceae_Siphanthera,Fabian Michelangeli,Melastomataceae,Siphanthera,annual,19.329,19,0.152,0.119,0.053,Dry,100,100,100,0.45,0.5,NA,NA,insects,biotic,1.5; 2,5.5,10.5,8,,
Myrtaceae_Siphoneugena,Carolyn Proen√ßa,Myrtaceae,Siphoneugena,woody perennial,17.444,14,0.151,0.116,0.048,Fleshy,1,4,2.5,7,7,NA,NA,insects,biotic,3mm; 7mm; 5mm,3,7,5,,
Penaeaceae_Sonderothamnus,Fabian Michelangeli,Penaeaceae,Sonderothamnus,NA,NA,NA,NA,NA,NA,Dry,NA,NA,NA,NA,NA,NA,NA,insects,biotic,n/a,NA,NA,NA,,"Schönenberger, J., Conti, E., & Rutschmann, F. (2007). Penaeaceae. In Flowering Plants· Eudicots (pp. 282-291). Springer, Berlin, Heidelberg. Eve to check in Kew"
Melastomataceae_Sonerila,Darin Penneys,Melastomataceae,Sonerila,woody perennial,26.062,190,0.201,0.175,0.115,Dry,50,50,50,0.4,0.8,NA,NA,insects,biotic,7; 36; 17,NA,NA,NA,,
Lythraceae_Sonneratia,Shirley Graham,Lythraceae,Sonneratia,woody perennial,31.902,9,0.069,0.05,0.018,Fleshy,100,1000,550,5,12,4,10,vertebrates,biotic,1.5-3.0 cm,NA,NA,NA,,
Melastomataceae_Spathandra,Darin Penneys,Melastomataceae,Spathandra,NA,27.033,3,0.041,0.026,0.007,Fleshy,1,2,1.5,2,3,NA,NA,insects,biotic,5,NA,NA,NA,,
Myrtaceae_Sphaerantia,Peter Wilson,Myrtaceae,Sphaerantia,woody perennial,45.956,2,0.015,0.009,0.002,Dry,1,3,NA,5,6,NA,NA,NA,NA,10‚Äì12 mm,NA,NA,NA,,
Melastomataceae_Stenodon,Fabian Michelangeli,Melastomataceae,Stenodon,woody perennial,5.584,2,0.124,0.073,0.017,Dry,100,100,100,0.6,0.8,NA,NA,insects,biotic,20; 30,NA,NA,NA,,
Myrtaceae_Stenostegia,Peter Wilson,Myrtaceae,Stenostegia,woody perennial,37.726,1,0,0,0,Dry,6,9,NA,0.6,0.6,NA,NA,insects,biotic,5 mm,NA,NA,NA,,
Myrtaceae_Stockwellia,Andrew Thornhill,Myrtaceae,Stockwellia,woody perennial,29.21,1,0,0,0,Dry,NA,NA,NA,8,11,5,6,insects,biotic,4,NA,NA,NA,,
Combretaceae_Strephonema,"Olivier Maurin, Ian Turner",Combretaceae,Strephonema,woody perennial,100.245,4,0.014,0.009,0.003,Fleshy,40,70,1,60,70,35,70,insects,biotic,"0,4; 0,8",12,20,NA,,
Penaeaceae_Stylapterus,Fabian Michelangeli,Penaeaceae,Stylapterus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insects,biotic,NA,NA,NA,NA,,"Schönenberger, J., Conti, E., & Rutschmann, F. (2007). Penaeaceae. In Flowering Plants· Eudicots (pp. 282-291). Springer, Berlin, Heidelberg. Eve to check in Kew"
Melastomataceae_Styrophyton,Darin Penneys,Melastomataceae,Styrophyton,NA,12.732,1,0,0,0,Dry,100,100,100,0.6,0.7,NA,NA,insects,biotic,3; 3; 3,NA,NA,NA,,
Melastomataceae_Svitramia,Fabian Michelangeli,Melastomataceae,Svitramia,woody perennial,NA,NA,NA,NA,NA,Dry,100,100,100,0.6,0.6,0.6,0.6,insects,biotic,13; 16,NA,NA,NA,,
Myrtaceae_Syncarpia,Peter Wilson,Myrtaceae,Syncarpia,woody perennial,72.544,3,0.022,0.015,0.005,Dry,NA,NA,NA,1.5,3.5,NA,NA,"insects, vertebrates",biotic,9‚Äì12 mm,NA,NA,NA,,
Myrtaceae_Syzygium,Yee Wen Low,Myrtaceae,Syzygium,woody perennial,70.845,1233,0.1,0.091,0.068,Fleshy,1,8,4.5,5,60,4,50,Insects,biotic,1.5; 82; ,1.5,82,41.75,"smallest flower is S. singaporense, while largest is S. porphyrocarpum. Smallest Syzygium seen I've seen about 5mm long (S. cf effusum) and the largest seed is S. gustavioides.",
Onagraceae_Taraxia,NA,Onagraceae,Taraxia,herbaceous perennial,19.629,4,0.071,0.047,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Myrtaceae_Taxandria,Peter Wilson,Myrtaceae,Taxandria,woody perennial,20.976,11,0.122,0.093,0.038,Dry,3,3,NA,1,1,NA,NA,insects,biotic,3.5‚Äì6,NA,NA,NA,,
Combretaceae_Terminalia,"Olivier Maurin, Ian Turner",Combretaceae,Terminalia,woody perennial,59.794,282,0.096,0.085,0.058,Dry,1.5,40,1,4,80,1.5,40,insects,biotic,absent,2,8,NA,,
Melastomataceae_Tessmannianthus,Fabian Michelangeli,Melastomataceae,Tessmannianthus,woody perennial,37.138,7,0.052,0.037,0.013,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,,
Myrtaceae_Tetrapora,Peter Wilson,Myrtaceae,Tetrapora,woody perennial,17.416,5,0.092,0.063,0.019,Dry,NA,NA,NA,0.4,1.1,NA,NA,insects,biotic,5.5‚Äì6.5 mm ,NA,NA,NA,,
Onagraceae_Tetrapteron,Peter Hoch,Onagraceae,Tetrapteron,annual,11.2,2,0.062,0.036,0.009,Dry,8,36,22,1.2,2,NA,NA,insects,biotic,4; 30; c. 12,4,30,17,,
Lythraceae_Tetrataxis,Shirley Graham,Lythraceae,Tetrataxis,woody perennial,19.473,1,0,0,0,Dry,50,50,50,0.9,1.2,0.2,0.5,NA,NA,12mm,NA,NA,NA,,
Melastomataceae_Tetrazygia,Fabian Michelangeli,Melastomataceae,Tetrazygia,woody perennial,NA,NA,NA,NA,NA,Fleshy,NA,NA,NA,NA,NA,NA,NA,insects,biotic,5,NA,NA,NA,,
Myrtaceae_Thaleropia,Peter Wilson,Myrtaceae,Thaleropia,woody perennial,60.429,3,0.018,0.011,0.003,Dry,NA,NA,NA,1,1,NA,NA,vertebrates,biotic,9‚Äì10 mm ,NA,NA,NA,,
Myrtaceae_Thryptomene,Peter Wilson,Myrtaceae,Thryptomene,woody perennial,5.637,38,0.69,0.571,0.312,Dry,1,2,NA,1.4,1.4,NA,NA,insects,biotic,6‚Äì7 mm,NA,NA,NA,,
Melastomataceae_Tibouchina,Fabian Michelangeli,Melastomataceae,Tibouchina,woody perennial,21.459,46,0.178,0.147,0.079,Dry,100,100,100,0.6,0.9,NA,NA,insects,biotic,9; 15,NA,NA,NA,,
Melastomataceae_Tibouchinopsis,Fabian Michelangeli,Melastomataceae,Tibouchinopsis,woody perennial,NA,NA,NA,NA,NA,Dry,100,100,100,0.8,0.8,0.8,0.8,insects,biotic,17,NA,NA,NA,,
Melastomataceae_Tigridiopalma,Darin Penneys,Melastomataceae,Tigridiopalma,NA,27.347,1,0,0,0,Dry,100,100,100,NA,NA,NA,NA,insects,biotic,22; 22; 22,NA,NA,NA,,
Melastomataceae_Tococa,Fabian Michelangeli,Melastomataceae,Tococa,woody perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.6,1.2,NA,NA,insects,biotic,6.5; 15; 11,9,18,13.5,,
Lythraceae_Trapa,Shirley Graham,Lythraceae,Trapa,annual,31.902,16,0.087,0.067,0.029,Fleshy,1,1,1,10,20,10,20,insects,biotic,3.5 cm,NA,NA,NA,,
Melastomataceae_Trembleya,Fabian Michelangeli,Melastomataceae,Trembleya,woody perennial,5.206,17,0.544,0.422,0.184,Dry,100,100,100,0.7,0.8,NA,NA,insects,biotic,5; 7,16,29,22.5,,
Melastomataceae_Triolena,Fabian Michelangeli,Melastomataceae,Triolena,herbaceous perennial,30.215,29,0.111,0.09,0.044,Dry,100,100,100,0.45,0.6,NA,NA,insects,biotic,6; 7,NA,NA,NA,,
Myrtaceae_Triplarina,Peter Wilson,Myrtaceae,Triplarina,woody perennial,25.163,9,0.087,0.064,0.023,Dry,6,9,NA,0.5,0.8,NA,NA,insects,biotic,4.5‚Äì5 mm,NA,NA,NA,,
Myrtaceae_Tristaniopsis,Peter Wilson,Myrtaceae,Tristaniopsis,woody perennial,61.792,53,0.064,0.053,0.03,Dry,4,12,NA,1,14,0.5,5,NA,NA,1‚Äì3 mm,NA,NA,NA,,
Melastomataceae_Tristemma,Darin Penneys,Melastomataceae,Tristemma,woody perennial,9.399,25,0.342,0.273,0.13,Fleshy,100,100,100,0.2,0.6,NA,NA,insects,biotic,5; 33; 20,NA,NA,NA,,
Melastomataceae_Tryssophyton,Fabian Michelangeli,Melastomataceae,Tryssophyton,herbaceous perennial,23.702,2,0.029,0.017,0.004,Dry,50,50,50,0.5,0.6,NA,NA,insects,biotic,11; 13,NA,NA,NA,,
Myrtaceae_Ugni,Eve Lucas,Myrtaceae,Ugni,woody perennial,35.952,4,0.039,0.025,0.007,Fleshy,10,15,12.5,1.2,2,1,1.5,insects,biotic,NA,1.2,2,1.6,,
Myrtaceae_Uromyrtus,Eve Lucas,Myrtaceae,Uromyrtus,woody perennial,56.845,22,0.054,0.043,0.02,Fleshy,1,20,10.5,2.5,4,2,3,insects,biotic,NA,9,18,13.5,,
Myrtaceae_Verticordia,Peter Wilson,Myrtaceae,Verticordia,woody perennial,17.733,170,0.29,0.251,0.163,Dry,1,1,NA,1,1,NA,NA,NA,NA,3‚Äì4 mm,NA,NA,NA,,
Vochysiaceae_Vochysia,Gustavo Shimizu & Deise Gon√ßalves,Vochysiaceae,Vochysia,woody perennial,14.145,160,0.359,0.31,0.2,Dry,3,3,3,15,35,5,12,insects,biotic,0-3.5 cm long,0,35,17.5,,
Melastomataceae_Votomita,Fabian Michelangeli,Melastomataceae,Votomita,woody perennial,21.928,10,0.105,0.078,0.029,Fleshy,1,1,1,6.5,6.5,6.5,6.5,insects,biotic,5; 6.5,NA,NA,NA,,
Melastomataceae_Warneckea,Fabian Michelangeli,Melastomataceae,Warneckea,woody perennial,3.941,49,0.988,0.817,0.446,NA,NA,NA,NA,NA,NA,NA,NA,insects,biotic,NA,NA,NA,NA,,
Myrtaceae_Welchiodendron,Peter Wilson,Myrtaceae,Welchiodendron,woody perennial,42.483,1,0,0,0,Dry,2,6,NA,6,8,NA,NA,NA,NA,20‚Äì25 mm ,NA,NA,NA,,
Myrtaceae_Whiteodendron,Peter Wilson,Myrtaceae,Whiteodendron,woody perennial,46.478,1,0,0,0,Dry,1,1,NA,12,12,NA,NA,NA,NA,c. 23‚Äì28 mm,NA,NA,NA,,
Lythraceae_Woodfordia,Shirley Graham,Lythraceae,Woodfordia,woody perennial,15.97,2,0.043,0.025,0.006,Dry,50,50,50,0.7,1,0.2,0.3,"insects, vertebrates",biotic,3-4 mm,NA,NA,NA,,
Melastomataceae_Wurdastom,Fabian Michelangeli,Melastomataceae,Wurdastom,woody perennial,18.079,8,0.115,0.083,0.029,Dry,100,100,100,0.5,0.6,NA,NA,insects,biotic,4; 5,NA,NA,NA,,
Myrtaceae_Xanthomyrtus,Peter Wilson,Myrtaceae,Xanthomyrtus,woody perennial,64.738,28,0.051,0.041,0.02,Fleshy,NA,NA,NA,1,1.5,NA,NA,insects,biotic,c. 11‚Äì13,NA,NA,NA,,
Myrtaceae_Xanthostemon,Eve Lucas,Myrtaceae,Xanthostemon,woody perennial,21.925,49,0.178,0.147,0.08,Dry,50,70,60,3,4,2.5,3,insects,biotic,NA,2.2,3.8,3,,