"Expert","Family","Genus","Species","Major.Group","Minor.Group","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","Corolla.diameter..min...max...prevalent.","Corolla.diameter.min","Corolla.diameter.max","fm_scoring_corolla_diam","Hypanthium.length..min...max...prevalent."
"Aline Stadnik","Myrtaceae","Neomitranthes","cordifolia","Myrteae","Siphoneugena","fleshy",1,4,"2.5",NA,NA,NA,NA,"insects","biotic","0.5 - 2,5 mm",0.5,2.5,1.5,"1 - 4,5 mm"
"Aline Stadnik","Myrtaceae","Plinia","silvestris","Myrteae","Myrciariopsis","fleshy",1,2,"1.5",NA,NA,NA,NA,"insects","biotic","0.8 - 4 mm ",0.8,4,2.4,"1.0 - 2.5 mm"
"Andrew Thornhill","Myrtaceae","Allosyncarpia","ternata","Eucalypteae","Mesicalypt (as per Thornhill et al. 2019)","Dry",1,2,"1,5",NA,NA,NA,NA,"insects","biotic","5",NA,NA,NA,""
"Andrew Thornhill","Myrtaceae","Angophora","euryphylla","Eucalypteae","Eucalypt (as per Thornhill et al. 2019)","Dry",NA,NA,NA,1,10,NA,NA,"insects/vertebrates","biotic","4;5;4 (Sepals)",NA,NA,NA,""
"Andrew Thornhill","Myrtaceae","Arillastrum","gummiferum","Eucalypteae","Newcalypt (as per Thornhill et al. 2019)","Dry",NA,NA,NA,NA,NA,NA,NA,"insects","biotic","4",NA,NA,NA,""
"Andrew Thornhill","Myrtaceae","Corymbia","ficifolia","Eucalypteae","Eucalypt (as per Thornhill et al. 2019)","Dry",NA,NA,NA,1,18,NA,NA,"insects/vertebrates","biotic","",NA,NA,NA,""
"Andrew Thornhill","Myrtaceae","Eucalyptopsis","papuana","Eucalypteae","Mesicalypt (as per Thornhill et al. 2019)","Dry",NA,NA,NA,NA,NA,NA,NA,"insects","biotic","4",NA,NA,NA,""
"Andrew Thornhill","Myrtaceae","Eucalyptus","cloeziana","Eucalypteae","Eucalypt (as per Thornhill et al. 2019); sungenus Idiogenes (as per Nicolle 2018)","Dry",NA,NA,NA,0.7,8,NA,NA,"abiotic/insects/vertebrates","abiotic/biotic","Calyptra",NA,NA,NA,""
"Andrew Thornhill","Myrtaceae","Stockwellia","quadrifida","Eucalypteae","Mesicalypt (as per Thornhill et al. 2019)","Dry",NA,NA,NA,8,11,5,6,"insects","biotic","4",NA,NA,NA,""
"Carolyn Proença","Myrtaceae","Blepharocalyx","salicifolia","Myrteae","Blepharocalycinae","fleshy",1,11,"6",3,10,NA,NA,"insects","biotic","2.5mm; 4mm; 4mm",2.5,4,3.25,"0.5;1; 2mm"
"Carolyn Proença","Myrtaceae","Psidium","","Myrteae","Pimentinae","fleshy",3,250,"126.5",2,9.5,NA,NA,"insects","biotic","10mm; 40mm",10,40,25,"0; 1mm"
"Carolyn Proença","Myrtaceae","Siphoneugena","guifoyleana","Myrteae","Pliniinae","fleshy",1,4,"2.5",7,7,NA,NA,"insects","biotic","3mm; 7mm; 5mm",3,7,5,"1.5; 4mm; 2-3mm"
"Darin Penneys","Melastomataceae","Astrocalyx","calycina","Melastomatoideae","Astronieae","dry",100,100,"100",0.5,1.8,NA,NA,"insects","biotic","14; 15; 14.5",NA,NA,NA,"0.5; 1; 0.75"
"Darin Penneys","Melastomataceae","Astronia","spectabilis","Melastomatoideae","Astronieae","dry",100,100,"100",2,3.5,NA,NA,"insects","biotic","4; 16; 8",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Astronidium","morobiense","Melastomatoideae","Astronieae","dry",100,100,"100",0.75,2.5,NA,NA,"insects","biotic","7; 20; 12",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Beccarianthus","pulcherrimus","Melastomatoideae","Astronieae","dry",100,100,"100",1,2.5,NA,NA,"vertebrates","biotic","12; 25; 20",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Blakea","schlimii","Melastomatoideae","Blakeeae","fleshy",100,100,"100",0.6,1.8,NA,NA,"insects","biotic","10; 160; 60",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Chalybea","macrocarpa","Melastomatoideae","Blakeeae","fleshy",100,100,"100",0.8,1.6,NA,NA,"vertebrates","biotic","18; 40; 30",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Topobea","intricata","Melastomatoideae","Blakeeae","fleshy",100,100,"100",0.6,1.8,NA,NA,"insects","biotic","10; 40; 30",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Dinophora","spenneroides","Melastomatoideae","Dinophoreae","fleshy",100,100,"100",1,1,NA,NA,"insects","biotic","20; 20; 20",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Dalenia","beccariana","Melastomatoideae","Dissochaeteae","fleshy",100,100,"100",0.5,0.75,NA,NA,"insects","biotic","16; 24; 20",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Diplectria","divaricata","Melastomatoideae","Dissochaeteae","fleshy",100,100,"100",0.75,0.75,0.75,0.75,"insects","biotic","20; 36; 28",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Dissochaeta","annulata","Melastomatoideae","Dissochaeteae","fleshy",100,100,"100",0.75,0.75,0.75,0.75,"insects","biotic","27; 43; 35",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Dissochaeta","annulata","Melastomatoideae","Dissochaeteae","fleshy",100,100,"100",0.75,0.75,0.75,0.75,"insects","biotic","27; 43; 35",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Dissochaeta","biligulata","Melastomatoideae","Dissochaeteae","fleshy",100,100,"100",0.5,0.5,0.5,0.5,"insects","biotic","11; 13; 12",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Dissochaeta","celebica","Melastomatoideae","Dissochaeteae","fleshy",100,100,"100",0.5,0.5,0.5,0.5,"insects","biotic","7; 9; 8",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Dissochaeta","divaricata","Melastomatoideae","Dissochaeteae","fleshy",100,100,"100",0.75,0.75,0.75,0.75,"insects","biotic","20; 36; 28",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Macrolenes","stellulata","Melastomatoideae","Dissochaeteae","fleshy",100,100,"100",0.75,0.75,0.75,0.75,"insects","biotic","43; 47; 45",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Pseudodissochaeta","spirei","Melastomatoideae","Dissochaeteae","fleshy",100,100,"100",0.5,0.7,NA,NA,"insects","biotic","7; 10; ",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Lithobium","cordatum","Melastomatoideae","Lithobieae","dry",50,50,"50",0.2,0.3,NA,NA,"insects","biotic","7; 9; 8",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Amphorocalyx","latifolius","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.5,1,NA,NA,"insects","biotic","14; 42; 30",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Antherotoma","naudinii","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.5,0.5,0.5,0.5,"insects","biotic","8; 9; 8.5",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Dichaetanthera","","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.5,1.7,NA,NA,"insects","biotic","11; 40; 20",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Dionycha","bojerii","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.7,0.9,NA,NA,"insects","biotic","17; 42; 30",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Dissotis","multiflora","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.4,0.8,NA,NA,"insects","biotic","14; 85; 38",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Guyonia","tenella","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.8,1.2,NA,NA,"insects","biotic","7; 7; 7",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Melastoma","malabathricum","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.9,0.9,0.9,0.9,"insects","biotic","13; 92; 50",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Melastomastrum","theifolium","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.5,0.6,NA,NA,"insects","biotic","22; 55",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Osbeckia","stellata","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.35,0.9,NA,NA,"insects","biotic","11; 65; 40",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Rousseauxia","madagascariensis","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.4,1,NA,NA,"insects","biotic","32; 40; 35",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Tristemma","mauritianum","Melastomatoideae","Melastomeae-OW","fleshy",100,100,"100",0.2,0.6,NA,NA,"insects","biotic","5; 33; 20",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Spathandra","blakeoides","Olisbeoideae ","Olisbeoideae","fleshy",1,2,"1.5",2,3,NA,NA,"insects","biotic","5",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Pternandra","azurea","Melastomatoideae (unless data prove Olisbeoideae)","Pternandreae","fleshy",100,100,"100",0.5,1.25,NA,NA,"insects","biotic","4; 28; 15",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Pternandra","cogniauxii","Melastomatoideae (unless data prove Olisbeoideae)","Pternandreae","fleshy",100,100,"100",0.5,1.25,NA,NA,"insects","biotic","4; 28; 15",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Pternandra","multiflora","Melastomatoideae (unless data prove Olisbeoideae)","Pternandreae","fleshy",100,100,"100",0.5,1.25,NA,NA,"insects","biotic","4; 28; 15",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Allomorphia","urophylla","Melastomatoideae","Sonerileae","dry",100,100,"100",NA,NA,NA,NA,"insects","biotic","7",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Amphiblemma","cymosum","Melastomatoideae","Sonerileae","dry",100,100,"100",0.5,1.5,NA,NA,"insects","biotic","4; 43; 22",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Anerincleistus","hirsutus","Melastomatoideae","Sonerileae","dry",100,100,"100",0.3,0.75,NA,NA,"insects","biotic","4; 33; 13",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Barthea","barthei","Melastomatoideae","Sonerileae","dry",100,100,"100",2.2,3.2,NA,NA,"insects","biotic","22; 45; 33",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Blastus","borneensis","Melastomatoideae","Sonerileae","dry",100,100,"100",0.3,1.8,NA,NA,"insects","biotic","2.5; 11; 5",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Bredia","okinawensis","Melastomatoideae","Sonerileae","dry",100,100,"100",0.4,1,NA,NA,"insects","biotic","10; 24; 17",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Calvoa","crassinoda","Melastomatoideae","Sonerileae","dry",100,100,"100",0.5,2,NA,NA,"insects","biotic","14; 40; 28",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Cincinnobotrys","felicis","Melastomatoideae","Sonerileae","dry",100,100,"100",0.3,2,NA,NA,"insects","biotic","7; 32; 15",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Creochiton","ledermannii","Melastomatoideae","Sonerileae","fleshy",100,100,"100",0.5,1,NA,NA,"insects","biotic","5; 26; 10",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Cyphotheca","montana","Melastomatoideae","Sonerileae","dry",100,100,"100",0.7,0.7,NA,NA,"insects","biotic","13; 13; 13",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Dicellandra","barteri","Melastomatoideae","Sonerileae","dry",100,100,"100",0.7,0.8,NA,NA,"insects","biotic","9; 16; 12",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Driessenia","ulicinum","Melastomatoideae","Sonerileae","dry",100,100,"100",0.3,0.8,NA,NA,"insects","biotic","3; 22; 5",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Fordiophyton","strictum","Melastomatoideae","Sonerileae","dry",100,100,"100",0.4,0.9,NA,NA,"insects","biotic","13; 38; 18",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Gravesia","vestita","Melastomatoideae","Sonerileae","dry",100,100,"100",0.3,1.7,NA,NA,"insects","biotic","4; 52; 26",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Kendrickia","walkeri","Melastomatoideae","Sonerileae","fleshy",100,100,"100",NA,NA,NA,NA,"insects","biotic","42; 53; 46",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Medinilla","crassifolia","Melastomatoideae","Sonerileae","fleshy",100,100,"100",0.4,2,NA,NA,"insects","biotic","7; 53; 25",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Neodriessenia","scorpioidea","Melastomatoideae","Sonerileae","dry",100,100,"100",0.2,0.7,NA,NA,"insects","biotic","4; 6; 3.5",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Ochthocharis","bornensis","Melastomatoideae","Sonerileae","dry",100,100,"100",0.6,1.2,NA,NA,"insects","biotic","6; 13; 9",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Oxyspora","balansae","Melastomatoideae","Sonerileae","dry",100,100,"100",0.7,1,NA,NA,"insects","biotic","3; 25; 9",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Oxyspora","cordata","Melastomatoideae","Sonerileae","dry",100,100,"100",0.7,1,NA,NA,"insects","biotic","3; 25; 9",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Oxyspora","paniculata","Melastomatoideae","Sonerileae","dry",100,100,"100",0.7,1,NA,NA,"insects","biotic","3; 25; 9",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Phyllagathis","elliptica","Melastomatoideae","Sonerileae","dry",100,100,"100",0.3,2,NA,NA,"insects","biotic","3; 39; 20",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Plagiopetalum","esquirolii","Melastomatoideae","Sonerileae","dry",100,100,"100",0.7,0.9,NA,NA,"insects","biotic","17; 21; 19",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Plethiandra","hookeri","Melastomatoideae","Sonerileae","dry",100,100,"100",0.5,1,NA,NA,"insects","biotic","9; 23; 13",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Poikilogyne","cordifolia","Melastomatoideae","Sonerileae","dry",100,100,"100",0.4,2.2,NA,NA,"insects","biotic","7; 33; 17",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Preussiella","kamerunensis","Melastomatoideae","Sonerileae","dry",100,100,"100",1.6,2.5,NA,NA,"insects","biotic","15; 18; 16",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Sarcopyramis","napalensis","Melastomatoideae","Sonerileae","dry",100,100,"100",0.6,1,NA,NA,"insects","biotic","10; 27; 18",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Sonerila","plagiocardia","Melastomatoideae","Sonerileae","dry",50,50,"50",0.4,0.8,NA,NA,"insects","biotic","7; 36; 17",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Sporoxeia","sciadophila","Melastomatoideae","Sonerileae","dry",100,100,"100",0.4,0.6,NA,NA,"insects","biotic","15; 15; 15",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Styrophyton","caudatum","Melastomatoideae","Sonerileae","dry",100,100,"100",0.6,0.7,NA,NA,"insects","biotic","3; 3; 3",NA,NA,NA,""
"Darin Penneys","Melastomataceae","Tigridiopalma","magnifica","Melastomatoideae","Sonerileae","dry",100,100,"100",NA,NA,NA,NA,"insects","biotic","22; 22; 22",NA,NA,NA,""
"Fabian Michelangeli","Alzateaceae","Alzatea","verticillata","","","dry",40,60,"50",NA,NA,NA,NA,"insects","biotic","na",NA,NA,NA,"1.5-2"
"Fabian Michelangeli","Crypteroniaceae","Axinandra","zeylanica","","","dry",6,12,"9",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,""
"Fabian Michelangeli","Crypteroniaceae","Crypteronia","paniculata","","","dry",6,12,"9",NA,NA,NA,NA,NA,NA,"na",NA,NA,NA,""
"Fabian Michelangeli","Crypteroniaceae","Dactylocladus","stenostachys","","","dry",12,15,"13.5",NA,NA,NA,NA,NA,NA,"na",NA,NA,NA,""
"Fabian Michelangeli","Melastomataceae","Acanthella","sprucei","Melastomatoideae","Marcetieae","dry",50,100,"75",4,5,NA,NA,NA,NA,"12; 15",NA,NA,NA,"10; 12"
"Fabian Michelangeli","Melastomataceae","Aciotis","purpurascens","Melastomatoideae","Marcetieae","fleshy",NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,"3.5; 4.5",NA,NA,NA,"2; 3 "
"Fabian Michelangeli","Melastomataceae","Acisanthera","quadrata","Melastomatoideae","Marcetieae","dry",NA,NA,NA,0.55,0.75,NA,NA,NA,NA,"5; 6",NA,NA,NA,"2; 2.5"
"Fabian Michelangeli","Melastomataceae","Adelobotrys","adscendens","Melastomatoideae","Merianieae","dry",100,100,"100",0.55,0.65,NA,NA,"insects","biotic","12; 15.5",NA,NA,NA,"6; 6.5"
"Fabian Michelangeli","Melastomataceae","Allomaieta","hirsuta","Melastomatoideae","Cyphostyleae","dry",100,100,"100",0.6,0.65,NA,NA,NA,NA,"6",NA,NA,NA,"18; 24"
"Fabian Michelangeli","Melastomataceae","Alloneuron","ulei","Melastomatoideae","Cyphostyleae","dry",100,100,"100",0.6,0.75,NA,NA,NA,NA,"2.4",NA,NA,NA,"1; 1.4"
"Fabian Michelangeli","Melastomataceae","Anaectocalyx","bracteosa","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.55,0.75,NA,NA,"insects","biotic","12; 14",NA,NA,NA,"4; 6"
"Fabian Michelangeli","Melastomataceae","Appendicularia","thymifolia","Melastomatoideae","Marcetieae","dry",100,100,"100",0.5,0.55,NA,NA,"insects","biotic","",NA,NA,NA,""
"Fabian Michelangeli","Melastomataceae","Arthrostemma","ciliatum","Melastomatoideae","Rhexieae","dry",100,100,"100",1,1,1,1,"insects","biotic","20; 30",NA,NA,NA,"7; 10"
"Fabian Michelangeli","Melastomataceae","Axinaea","floribunda","Melastomatoideae","Merianieae","dry",50,50,"50",1,1.25,NA,NA,"vertebrates","biotic","6; 8",NA,NA,NA,"2; 3"
"Fabian Michelangeli","Melastomataceae","Behuria","glutinosa","Melastomatoideae","Cambessedesieae","dry",100,100,"100",0.6,1,NA,NA,"insects","biotic","13; 16",NA,NA,NA,"4; 6"
"Fabian Michelangeli","Melastomataceae","Bellucia","pentamera","Melastomatoideae","Henrietteeae","fleshy",100,100,"100",0.6,0.8,NA,NA,"insects","biotic","15; 20",NA,NA,NA,"9; 11"
"Fabian Michelangeli","Melastomataceae","Bertolonia","wurdackiana","Melastomatoideae","Bertolonieae","dry",100,100,"100",0.4,0.55,NA,NA,"insects","biotic","7.8; 8.3",NA,NA,NA,"2.7; 2.9"
"Fabian Michelangeli","Melastomataceae","Boyania","ayangannae","Melastomatoideae","Sonerileae","dry",100,100,"100",NA,NA,NA,NA,"insects","biotic","8; 13",NA,NA,NA,"2.1; 2.5"
"Fabian Michelangeli","Melastomataceae","Brachyotum","angustifolium","Melastomatoideae","Melastomateae","dry",100,100,"100",0.5,0.9,NA,NA,"vertebrates","biotic","10; 12",NA,NA,NA,"4; 5"
"Fabian Michelangeli","Melastomataceae","Brachyotum","ledifolium","Melastomatoideae","Melastomateae","dry",100,100,"100",0.5,0.9,NA,NA,"vertebrates","biotic","9; 17",NA,NA,NA,"5; 8"
"Fabian Michelangeli","Melastomataceae","Bucquetia","glutinosa","Melastomatoideae","Melastomateae","dry",100,100,"100",NA,NA,NA,NA,"insects","biotic","12; 14",NA,NA,NA,"5"
"Fabian Michelangeli","Melastomataceae","Calycogonium","rosmarinifolium","Melastomatoideae","Miconieae","fleshy",15,20,"",1.7,2.3,NA,NA,"insects","biotic","4.5; 5.0",NA,NA,NA,"2.5"
"Fabian Michelangeli","Melastomataceae","Cambessedesia","eichlerii","Melastomatoideae","Cambessedesieae","dry",100,100,"100",0.5,0.5,0.5,0.5,"insects","biotic","4.5; 5.5",NA,NA,NA,"5; 6"
"Fabian Michelangeli","Melastomataceae","Castratella","piloselloides","Melastomatoideae","Melastomateae","dry",100,100,"100",0.7,0.8,NA,NA,"insects","biotic","8.5; 11",NA,NA,NA,"6"
"Fabian Michelangeli","Melastomataceae","Catocoryne","linnaeoides","Melastomatoideae","Miconieae","fleshy",50,50,"50",0.3,0.4,NA,NA,"insects","biotic","4; 5",NA,NA,NA,"2"
"Fabian Michelangeli","Melastomataceae","Centradenia","floribunda","Melastomatoideae","Melastomateae","dry",50,50,"50",0.5,0.8,NA,NA,"insects","biotic","4; 7",NA,NA,NA,"2.5; 2.7"
"Fabian Michelangeli","Melastomataceae","Centradeniastrum","album","Melastomatoideae","","dry",10,20,"15",2,2,2,2,"insects","biotic","9; 11",NA,NA,NA,"3.5; 4"
"Fabian Michelangeli","Melastomataceae","Centronia","laurifolia","Melastomatoideae","Merianieae","dry",100,100,"100",2,2,2,2,"insects","biotic","14; 15.5",NA,NA,NA,"8"
"Fabian Michelangeli","Melastomataceae","Chaetolepis","lindeniana","Melastomatoideae","Melastomateae","dry",100,100,"100",0.5,0.8,NA,NA,"insects","biotic","5; 6",NA,NA,NA,"2.5; 3"
"Fabian Michelangeli","Melastomataceae","Chaetostoma","pungens","Melastomatoideae","Microlicieae","dry",100,100,"100",0.5,0.65,NA,NA,"insects","biotic","9; 12.5",NA,NA,NA,"4; 7"
"Fabian Michelangeli","Melastomataceae","Charianthus","purpureus","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.6,0.95,NA,NA,"vertebrates","biotic","9; 12",NA,NA,NA,"4.2; 5.5"
"Fabian Michelangeli","Melastomataceae","Clidemia","eggersii","Melastomatoideae","Miconieae","dry",100,100,"100",0.3,0.5,NA,NA,"insects","biotic","7; 18",NA,NA,NA,"5; 7.5"
"Fabian Michelangeli","Melastomataceae","Comolia","lythrarioides","Melastomatoideae","Marcetieae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","9; 12",NA,NA,NA,"3; 5"
"Fabian Michelangeli","Melastomataceae","Conostegia","icosandra","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.4,0.8,NA,NA,"insects","biotic","7; 8",NA,NA,NA,"3.5; 5.5"
"Fabian Michelangeli","Melastomataceae","Desmoscelis","villosa","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","6; 10",NA,NA,NA,"3.5; 5"
"Fabian Michelangeli","Melastomataceae","Dicrananthera","hedyotidea","Melastomatoideae","Marcetieae","dry",100,100,"100",0.6,0.8,NA,NA,"insects","biotic","3; 4",NA,NA,NA,"2; 2.5"
"Fabian Michelangeli","Melastomataceae","Diplarpea","paleacea","Melastomatoideae","Trioleneae","dry",NA,NA,NA,NA,NA,NA,NA,"insects","biotic","5; 7",NA,NA,NA,"4.5"
"Fabian Michelangeli","Melastomataceae","Dolichoura","spiritusanctensis","Melastomatoideae","Cambessedesieae","dry",100,100,"100",1.8,2,NA,NA,"insects","biotic","5; 8",NA,NA,NA,"1.5; 2"
"Fabian Michelangeli","Melastomataceae","Eriocnema","fulva","Melastomatoideae","Eriocnemeae","dry",NA,NA,NA,0.9,0.9,0.9,0.9,"insects","biotic","10; 13",NA,NA,NA,"2; 3"
